index	Jogador	Time	Posicao	preco_cartoleta
0	Gatito Fernández	Botafogo	Goleiro	22.88999999999947
1	Vanderlei	Santos	Goleiro	22.089999999997584
2	Lucca	Ponte Preta	Atacante	21.14999999999842
3	Henrique Dourado	Fluminense	Atacante	20.94999999999816
4	Luan	Grêmio	Atacante	20.86999999999899
5	Nino Paraíba	Ponte Preta	Lateral	20.410000000002327
6	Diego	Flamengo	Meia	19.850000000001298
7	Hernanes	São Paulo	Meia	18.789999999998592
8	Zé Rafael 	Bahia	Meia	18.770000000000245
9	Thiago Neves	Cruzeiro	Meia	17.38999999999949
10	Dudu	Palmeiras	Atacante	16.88999999999949
11	Diego Souza	Sport	Meia	16.669999999998613
12	Clayson	Corinthians	Atacante	16.36000000000051
13	Sornoza	Fluminense	Meia	15.809999999998874
14	Ramiro	Grêmio	Meia	15.730000000000498
15	Rodriguinho	Corinthians	Meia	15.539999999999639
16	Borja	Palmeiras	Atacante	15.339999999998058
17	Régis	Bahia	Meia	15.169999999998646
18	Fred	Atlético-MG	Atacante	14.990000000000075
19	Yerry Mina	Palmeiras	Zagueiro	14.960000000000129
20	Alejandro Guerra	Palmeiras	Meia	14.960000000000129
21	Jean	Palmeiras	Lateral	14.309999999999002
22	Sidcley	Atlético-PR	Lateral	14.230000000000977
23	Henrique Almeida	Coritiba	Atacante	14.139999999999503
24	Wendel	Fluminense	Meia	14.010000000000286
25	Everton	Flamengo	Meia	13.87999999999918
26	Lucas Pratto	São Paulo	Atacante	13.839999999998225
27	Pedro Geromel	Grêmio	Zagueiro	13.739999999999608
28	Jucilei	São Paulo	Meia	13.69000000000094
29	Fagner	Corinthians	Lateral	13.66999999999869
30	Bruno Silva	Botafogo	Meia	13.660000000001752
31	Fernando Prass	Palmeiras	Goleiro	13.599999999999223
32	Cássio	Corinthians	Goleiro	13.580000000001307
33	Alisson	Cruzeiro	Meia	13.470000000000809
34	Aranha	Ponte Preta	Goleiro	13.430000000000094
35	Bruno Henrique	Santos	Atacante	13.099999999998973
36	Luis Fabiano	Vasco	Atacante	13.050000000001193
37	Fábio	Cruzeiro	Goleiro	13.040000000000758
38	Diogo Barbosa	Cruzeiro	Lateral	13.010000000000657
39	Capa	Avaí	Lateral	12.819999999999732
40	Victor Luis	Botafogo	Lateral	12.790000000000756
41	Jô	Corinthians	Atacante	12.75
42	Reinaldo	Chapecoense	Lateral	12.620000000001086
43	Éverton Ribeiro	Flamengo	Meia	12.589999999998396
44	Wilson	Coritiba	Goleiro	12.580000000001274
45	Kleber	Coritiba	Atacante	12.459999999999246
46	Edson	Bahia	Meia	12.459999999999246
47	Marllon	Ponte Preta	Zagueiro	12.430000000000266
48	Júnior Tavares	São Paulo	Lateral	12.180000000000266
49	Jean	Vasco	Meia	12.169999999998742
50	David Braz	Santos	Zagueiro	12.129999999998976
51	Gustavo Scarpa	Fluminense	Meia	11.940000000000737
52	Balbuena	Corinthians	Zagueiro	11.88999999999952
53	Ángel Romero	Corinthians	Atacante	11.870000000000989
54	Renê Júnior	Bahia	Meia	11.870000000000989
55	Marcos Rocha	Atlético-MG	Lateral	11.86000000000048
56	Pablo	Corinthians	Zagueiro	11.839999999998515
57	Arthur 	Chapecoense	Atacante	11.819999999999736
58	Elias	Atlético-MG	Meia	11.809999999999281
59	Robinho	Atlético-MG	Atacante	11.790000000000747
60	Nenê	Vasco	Meia	11.730000000001201
61	Fernandinho	Grêmio	Atacante	11.620000000000955
62	Gilberto 	Vasco	Lateral	11.589999999998557
63	Rithely	Sport	Meia	11.559999999999317
64	Paolo Guerrero	Flamengo	Atacante	11.480000000001157
65	Jean	Bahia	Goleiro	11.440000000000666
66	Victor	Atlético-MG	Goleiro	11.389999999999523
67	João Lucas	Ponte Preta	Lateral	11.26000000000044
68	Tomas Bastos	Coritiba	Meia	11.25
69	Guilherme Arana	Corinthians	Lateral	11.239999999999561
70	Geferson	Vitória	Lateral	11.19000000000063
71	Patrick	Sport	Meia	11.150000000000952
72	Pedro Rocha	Grêmio	Atacante	10.989999999999599
73	Matheus Savio	Flamengo	Meia	10.989999999999599
74	Bruno Cortez	Grêmio	Lateral	10.949999999999138
75	Réver	Flamengo	Zagueiro	10.72000000000072
76	Miller Bolaños	Grêmio	Atacante	10.620000000000797
77	Guilherme	Atlético-PR	Meia	10.569999999999737
78	Michel 	Grêmio	Meia	10.449999999999235
79	Fagner Alemão	Avaí	Lateral	10.379999999999244
80	Juninho	Bahia	Meia	10.370000000000754
81	Zeca	Santos	Lateral	10.339999999998806
82	Everton	Grêmio	Atacante	10.309999999999516
83	Léo Moura	Grêmio	Lateral	10.2799999999993
84	Bruno Henrique	Palmeiras	Meia	10.25
85	Arnaldo	Botafogo	Lateral	10.150000000000903
86	Allione	Bahia	Meia	10.12999999999929
87	Victor Ferraz	Santos	Lateral	10.0999999999991
88	André	Sport	Atacante	10.06999999999974
89	Petros	São Paulo	Meia	10.0
90	Sassá	Cruzeiro	Atacante	9.940000000000417
91	Kannemann	Grêmio	Zagueiro	9.940000000000417
92	Rodrigo	Ponte Preta	Zagueiro	9.940000000000417
93	Nikão	Atlético-PR	Meia	9.889999999999539
94	Bruno Pacheco	Atlético-GO	Lateral	9.809999999999608
95	Rodrigo Lindoso	Botafogo	Meia	9.80000000000062
96	Tiago 	Bahia	Zagueiro	9.779999999999323
97	Douglas Friedrich	Avaí	Goleiro	9.720000000000676
98	Pedro Henrique	Corinthians	Zagueiro	9.610000000000458
99	Fernando Miguel	Vitória	Goleiro	9.59999999999913
100	Marcos Guilherme 	São Paulo	Meia	9.589999999998986
101	Ricardo Oliveira	Santos	Atacante	9.580000000001126
102	Wellington Paulista	Chapecoense	Atacante	9.540000000000717
103	Kieza	Vitória	Atacante	9.529999999999335
104	Ronaldo Alves	Sport	Zagueiro	9.529999999999335
105	Edigar Junio	Bahia	Atacante	9.519999999999264
106	Arboleda	São Paulo	Zagueiro	9.449999999999465
107	Henrique	Fluminense	Zagueiro	9.440000000000314
108	Felipe Santana	Atlético-MG	Zagueiro	9.430000000000259
109	Willian Arão	Flamengo	Meia	9.419999999998886
110	Yago Pikachu	Vasco	Lateral	9.410000000000966
111	Lucas Barrios	Grêmio	Atacante	9.410000000000966
112	Neto Berola	Coritiba	Atacante	9.360000000000454
113	Cueva	São Paulo	Meia	9.360000000000454
114	Dodô	Coritiba	Lateral	9.339999999999053
115	Jefferson	Botafogo	Goleiro	9.330000000001109
116	Willian Farias	Vitória	Meia	9.330000000001109
117	Edílson	Grêmio	Lateral	9.319999999999741
118	Igor Rabello	Botafogo	Zagueiro	9.319999999999741
119	Vitor Bueno	Santos	Meia	9.290000000000713
120	Thiago Heleno	Atlético-PR	Zagueiro	9.26999999999933
121	Sander	Sport	Lateral	9.260000000000096
122	Jadson	Corinthians	Meia	9.199999999999529
