Time	Erro_Medio
Atlético-GO	-2.93
Atlético-MG	0.47
Atlético-PR	-1.15
Avaí	1.47
Bahia	2.06
Botafogo	-1.08
Chapecoense	1.42
Corinthians	-0.58
Coritiba	-1.04
Cruzeiro	-0.35
Flamengo	2.72
Fluminense	0.38
Grêmio	-4.28
Palmeiras	-1.18
Ponte Preta	0.36
Santos	0.5
Sport	0.66
São Paulo	0.05
Vasco	0.72
Vitória	0.2
