Time	Erro_Medio
Atlético-GO	-0.31
Atlético-MG	0.27
Atlético-PR	0.36
Avaí	1.2
Bahia	-0.11
Botafogo	1.1
Chapecoense	-0.3
Corinthians	-1.6
Coritiba	3.7
Cruzeiro	-0.28
Flamengo	0.05
Fluminense	-0.87
Grêmio	0.31
Palmeiras	-2.38
Ponte Preta	2.49
Santos	-3.5
Sport	-0.13
São Paulo	0.48
Vasco	2.06
Vitória	-1.23
