Time	Erro_Medio
Atlético-GO	-0.15
Atlético-MG	-0.57
Atlético-PR	-2.67
Avaí	-0.95
Bahia	0.28
Botafogo	0.79
Chapecoense	2.21
Corinthians	-1.38
Coritiba	-0.93
Cruzeiro	1.9
Flamengo	0.5
Fluminense	-2.11
Grêmio	-1.83
Palmeiras	2.51
Ponte Preta	-0.6
Santos	2.15
Sport	-1.46
São Paulo	-1.72
Vasco	-0.65
Vitória	1.7
