Time	Erro_Medio
Atlético-GO	-0.87
Atlético-MG	-0.69
Atlético-PR	1.99
Avaí	0.98
Bahia	-1.56
Botafogo	1.1
Chapecoense	-0.34
Corinthians	1.19
Coritiba	2.0
Cruzeiro	-0.92
Flamengo	-1.2
Fluminense	1.61
Grêmio	0.45
Palmeiras	-0.7
Ponte Preta	-0.96
Santos	1.0
Sport	-0.24
São Paulo	-2.58
Vasco	0.79
Vitória	1.79
