Time	Erro_Medio
Atlético-GO	-1.5
Atlético-MG	-1.36
Atlético-PR	-2.08
Avaí	-0.32
Bahia	2.69
Botafogo	-2.37
Chapecoense	-1.6
Corinthians	-1.45
Coritiba	4.5
Cruzeiro	2.82
Flamengo	-0.45
Fluminense	1.46
Grêmio	0.79
Palmeiras	-0.8
Ponte Preta	-1.28
Santos	1.5
Sport	-1.01
São Paulo	1.53
Vasco	-1.62
Vitória	-2.35
