Time	Erro_Medio
Atlético-GO	-1.4
Atlético-MG	0.57
Atlético-PR	1.35
Avaí	-0.59
Bahia	2.53
Botafogo	1.18
Chapecoense	4.33
Corinthians	-2.73
Coritiba	1.87
Cruzeiro	1.7
Flamengo	2.89
Fluminense	1.25
Grêmio	0.8
Palmeiras	-1.73
Ponte Preta	-0.9
Santos	-0.05
Sport	-1.85
São Paulo	-1.11
Vasco	-0.7
Vitória	0.72
