Time	Erro_Medio
Atlético-GO	-0.79
Atlético-MG	3.18
Atlético-PR	0.28
Avaí	0.94
Bahia	-0.23
Botafogo	1.51
Chapecoense	-0.2
Corinthians	-2.1
Coritiba	-1.26
Cruzeiro	1.2
Flamengo	1.68
Fluminense	1.84
Grêmio	0.1
Palmeiras	-0.04
Ponte Preta	-1.57
Santos	1.5
Sport	-0.22
São Paulo	-1.67
Vasco	-2.05
Vitória	-2.28
