Time	Erro_Medio
Atlético-GO	-0.65
Atlético-MG	0.12
Atlético-PR	1.71
Avaí	-2.34
Bahia	-1.69
Botafogo	-0.33
Chapecoense	3.66
Corinthians	-1.25
Coritiba	-1.85
Cruzeiro	-2.46
Flamengo	-1.12
Fluminense	0.56
Grêmio	-0.91
Palmeiras	-0.08
Ponte Preta	-1.05
Santos	-0.79
Sport	-0.27
São Paulo	-3.16
Vasco	2.07
Vitória	-0.01
