Time	Erro_Medio
Atlético-GO	0.65
Atlético-MG	-1.42
Atlético-PR	4.8
Avaí	-4.01
Bahia	-2.07
Botafogo	-4.5
Chapecoense	-1.56
Corinthians	2.38
Coritiba	2.28
Cruzeiro	3.54
Flamengo	-0.52
Fluminense	-1.52
Grêmio	1.43
Palmeiras	0.32
Ponte Preta	-0.25
Santos	-0.0
Sport	-3.02
São Paulo	-1.92
Vasco	-3.56
Vitória	3.27
