Time	Erro_Medio
Atlético-GO	1.44
Atlético-MG	1.59
Atlético-PR	0.87
Avaí	-2.67
Bahia	0.07
Botafogo	-0.92
Chapecoense	-1.92
Corinthians	-1.9
Coritiba	-0.33
Cruzeiro	-0.95
Flamengo	-0.13
Fluminense	-3.06
Grêmio	-2.07
Palmeiras	1.37
Ponte Preta	-3.98
Santos	-0.05
Sport	0.31
São Paulo	-0.23
Vasco	-0.19
Vitória	0.08
