Time	Erro_Medio
Atlético-GO	-0.51
Atlético-MG	1.63
Atlético-PR	-1.12
Avaí	-0.61
Bahia	0.12
Botafogo	0.08
Chapecoense	2.2
Corinthians	-1.42
Coritiba	-0.6
Cruzeiro	-1.28
Flamengo	-0.78
Fluminense	1.34
Grêmio	-2.32
Palmeiras	1.36
Ponte Preta	-2.5
Santos	1.63
Sport	-1.17
São Paulo	1.36
Vasco	-2.1
Vitória	0.41
