Time	Erro_Medio
Atlético-GO	0.59
Atlético-MG	-1.79
Atlético-PR	0.3
Avaí	-1.26
Bahia	-1.51
Botafogo	1.57
Chapecoense	2.27
Corinthians	0.2
Coritiba	-1.15
Cruzeiro	-0.38
Flamengo	1.9
Fluminense	-1.77
Grêmio	-1.22
Palmeiras	1.1
Ponte Preta	-2.75
Santos	-2.79
Sport	-2.13
São Paulo	0.36
Vasco	-0.14
Vitória	-0.61
