Time	Erro_Medio
Atlético-GO	-0.99
Atlético-MG	-0.6
Atlético-PR	-2.79
Avaí	-1.57
Bahia	1.52
Botafogo	-2.44
Chapecoense	-0.85
Corinthians	-2.19
Coritiba	-1.98
Flamengo	2.34
Fluminense	2.53
Grêmio	1.15
Palmeiras	1.89
Santos	-0.24
Sport	-0.55
São Paulo	-0.14
Vasco	0.53
Vitória	-0.55
