Time	Erro_Medio
Atlético-GO	-1.49
Atlético-MG	2.09
Atlético-PR	-1.58
Avaí	-1.84
Bahia	0.97
Botafogo	-1.46
Chapecoense	-0.21
Corinthians	0.34
Coritiba	-1.53
Cruzeiro	2.58
Flamengo	-1.9
Fluminense	-0.34
Grêmio	-1.49
Palmeiras	-0.1
Ponte Preta	-3.09
Santos	-0.95
Sport	1.05
São Paulo	0.28
Vasco	-0.75
Vitória	-0.97
