Time	Erro_Medio
Atlético-GO	-0.21
Atlético-MG	-0.41
Atlético-PR	-0.7
Avaí	3.23
Bahia	-3.15
Botafogo	-2.06
Chapecoense	-0.13
Corinthians	1.47
Coritiba	-3.11
Cruzeiro	-0.78
Flamengo	1.02
Fluminense	-0.38
Grêmio	-2.01
Palmeiras	-0.44
Ponte Preta	-1.52
Santos	-0.2
Sport	3.45
São Paulo	0.21
Vasco	-4.09
Vitória	-0.35
