Time	Erro_Medio
Atlético-GO	-1.34
Atlético-MG	0.23
Atlético-PR	-0.89
Avaí	-0.27
Bahia	0.5
Botafogo	-0.65
Chapecoense	0.09
Corinthians	1.18
Coritiba	-0.58
Cruzeiro	-1.02
Flamengo	2.82
Fluminense	-0.3
Grêmio	2.16
Palmeiras	-0.06
Ponte Preta	-2.06
Santos	-0.94
Sport	-2.12
São Paulo	-1.08
Vasco	1.6
Vitória	0.64
