Time	Erro_Medio
Atlético-GO	1.06
Atlético-MG	-0.13
Atlético-PR	-2.62
Avaí	2.07
Bahia	-1.38
Botafogo	-0.14
Chapecoense	-2.26
Corinthians	-0.22
Coritiba	-1.74
Cruzeiro	-0.65
Flamengo	0.34
Fluminense	-1.61
Palmeiras	1.1
Ponte Preta	-0.78
Santos	-1.53
São Paulo	-0.2
Vasco	2.17
Vitória	0.37
