pontuacao	frequencia	media
-14	0.0002	0.11033999999999798
-13	0.0	0.11033999999999798
-12	0.0	0.11033999999999798
-11	0.0006	0.11033999999999798
-10	0.002	0.11033999999999798
-9	0.0012	0.11033999999999798
-8	0.0034	0.11033999999999798
-7	0.0136	0.11033999999999798
-6	0.0056	0.11033999999999798
-5	0.0128	0.11033999999999798
-4	0.0446	0.11033999999999798
-3	0.0556	0.11033999999999798
-2	0.0524	0.11033999999999798
-1	0.0814	0.11033999999999798
0	0.22	0.11033999999999798
1	0.109	0.11033999999999798
2	0.191	0.11033999999999798
3	0.0806	0.11033999999999798
4	0.0708	0.11033999999999798
5	0.0242	0.11033999999999798
6	0.0198	0.11033999999999798
7	0.0076	0.11033999999999798
8	0.0012	0.11033999999999798
9	0.0022	0.11033999999999798
