index	Jogador	Time	Posicao	preco_cartoleta
0	Vanderlei	Santos	Goleiro	23.660000000002487
1	Henrique Dourado	Fluminense	Atacante	21.169999999998534
2	Luan	Grêmio	Atacante	20.86999999999899
3	Lucca	Ponte Preta	Atacante	20.679999999997612
4	Zé Rafael 	Bahia	Meia	20.600000000001465
5	Nino Paraíba	Ponte Preta	Lateral	20.389999999999475
6	Gatito Fernández	Botafogo	Goleiro	20.30999999999861
7	Hernanes	São Paulo	Meia	19.10000000000112
8	Diego	Flamengo	Meia	18.69000000000131
9	Thiago Neves	Cruzeiro	Meia	17.440000000001238
10	Fernando Prass	Palmeiras	Goleiro	16.230000000000356
11	Dudu	Palmeiras	Atacante	15.669999999998636
12	Jean	Palmeiras	Lateral	15.509999999999753
13	Clayson	Corinthians	Atacante	15.289999999999738
14	Bruno Henrique	Santos	Atacante	15.24000000000016
15	Ramiro	Grêmio	Meia	15.22000000000085
16	Yerry Mina	Palmeiras	Zagueiro	14.960000000000129
17	Lucas Pratto	São Paulo	Atacante	14.94999999999859
18	Fred	Atlético-MG	Atacante	14.760000000000005
19	Borja	Palmeiras	Atacante	14.71000000000002
20	Edson	Bahia	Meia	14.71000000000002
21	Régis	Bahia	Meia	14.470000000000836
22	Henrique Almeida	Coritiba	Atacante	13.989999999999705
23	Wilson	Coritiba	Goleiro	13.949999999998699
24	Diego Souza	Sport	Meia	13.949999999998699
25	Fábio	Cruzeiro	Goleiro	13.900000000000638
26	Pedro Geromel	Grêmio	Zagueiro	13.739999999999608
27	Bruno Silva	Botafogo	Meia	13.69000000000094
28	Nenê	Vasco	Meia	13.589999999998257
29	Cássio	Corinthians	Goleiro	13.510000000000488
30	Alejandro Guerra	Palmeiras	Meia	13.48000000000126
31	Rodriguinho	Corinthians	Meia	13.440000000000914
32	Réver	Flamengo	Zagueiro	13.400000000000876
33	Sidcley	Atlético-PR	Lateral	13.37000000000103
34	Jean	Bahia	Goleiro	13.31999999999985
35	Jucilei	São Paulo	Meia	13.29000000000066
36	Diogo Barbosa	Cruzeiro	Lateral	13.279999999999195
37	Alisson	Cruzeiro	Meia	13.239999999999394
38	Everton	Flamengo	Meia	13.23000000000136
39	Paolo Guerrero	Flamengo	Atacante	13.129999999998867
40	Éverton Ribeiro	Flamengo	Meia	12.819999999999732
41	Fagner	Corinthians	Lateral	12.800000000001157
42	Reinaldo	Chapecoense	Lateral	12.72000000000079
