pontuacao	frequencia	media
-4	0.001	3.372280000000003
-3	0.0036	3.372280000000003
-2	0.0124	3.372280000000003
-1	0.0366	3.372280000000003
0	0.0704	3.372280000000003
1	0.1002	3.372280000000003
2	0.1278	3.372280000000003
3	0.1514	3.372280000000003
4	0.1234	3.372280000000003
5	0.1074	3.372280000000003
6	0.088	3.372280000000003
7	0.0632	3.372280000000003
8	0.0424	3.372280000000003
9	0.0266	3.372280000000003
10	0.022	3.372280000000003
11	0.0096	3.372280000000003
12	0.0068	3.372280000000003
13	0.004	3.372280000000003
14	0.0016	3.372280000000003
15	0.0004	3.372280000000003
16	0.0004	3.372280000000003
