pontuacao	frequencia	media
-1	0.0282	4.752740000000147
0	0.2508	4.752740000000147
1	0.0898	4.752740000000147
2	0.0028	4.752740000000147
3	0.0008	4.752740000000147
4	0.029	4.752740000000147
5	0.256	4.752740000000147
6	0.0834	4.752740000000147
7	0.0044	4.752740000000147
8	0.001	4.752740000000147
9	0.0172	4.752740000000147
10	0.1172	4.752740000000147
11	0.0414	4.752740000000147
12	0.001	4.752740000000147
13	0.0004	4.752740000000147
14	0.004	4.752740000000147
15	0.037	4.752740000000147
16	0.0158	4.752740000000147
17	0.0006	4.752740000000147
18	0.0002	4.752740000000147
19	0.0018	4.752740000000147
20	0.011	4.752740000000147
21	0.0034	4.752740000000147
22	0.0002	4.752740000000147
23	0.0	4.752740000000147
24	0.0	4.752740000000147
25	0.001	4.752740000000147
26	0.0008	4.752740000000147
27	0.0	4.752740000000147
28	0.0	4.752740000000147
29	0.0	4.752740000000147
30	0.0002	4.752740000000147
31	0.0002	4.752740000000147
32	0.0	4.752740000000147
33	0.0	4.752740000000147
34	0.0	4.752740000000147
