pontuacao	frequencia	media
-7	0.0002	4.592580000000042
-6	0.0004	4.592580000000042
-5	0.0016	4.592580000000042
-4	0.004	4.592580000000042
-3	0.0162	4.592580000000042
-2	0.0274	4.592580000000042
-1	0.053	4.592580000000042
0	0.0716	4.592580000000042
1	0.082	4.592580000000042
2	0.0878	4.592580000000042
3	0.0848	4.592580000000042
4	0.0798	4.592580000000042
5	0.0778	4.592580000000042
6	0.0704	4.592580000000042
7	0.071	4.592580000000042
8	0.0528	4.592580000000042
9	0.051	4.592580000000042
10	0.0356	4.592580000000042
11	0.0286	4.592580000000042
12	0.0262	4.592580000000042
13	0.0218	4.592580000000042
14	0.0154	4.592580000000042
15	0.0094	4.592580000000042
16	0.0078	4.592580000000042
17	0.0058	4.592580000000042
18	0.0048	4.592580000000042
19	0.0036	4.592580000000042
20	0.0024	4.592580000000042
21	0.0016	4.592580000000042
22	0.0016	4.592580000000042
23	0.0016	4.592580000000042
24	0.0006	4.592580000000042
25	0.0006	4.592580000000042
26	0.0002	4.592580000000042
27	0.0002	4.592580000000042
28	0.0	4.592580000000042
29	0.0	4.592580000000042
30	0.0002	4.592580000000042
