pontuacao	frequencia	media
-9	0.0	2.9736
-8	0.0056	2.9736
-7	0.0004	2.9736
-6	0.0224	2.9736
-5	0.0006	2.9736
-4	0.0642	2.9736
-3	0.0064	2.9736
-2	0.1336	2.9736
-1	0.0262	2.9736
0	0.1342	2.9736
1	0.0672	2.9736
2	0.0024	2.9736
3	0.1368	2.9736
4	0.0106	2.9736
5	0.1418	2.9736
6	0.0336	2.9736
7	0.0016	2.9736
8	0.0696	2.9736
9	0.005	2.9736
10	0.0652	2.9736
11	0.011	2.9736
12	0.0	2.9736
13	0.0236	2.9736
14	0.001	2.9736
15	0.0212	2.9736
16	0.0018	2.9736
17	0.0	2.9736
18	0.0042	2.9736
19	0.0004	2.9736
20	0.0058	2.9736
21	0.0006	2.9736
22	0.0	2.9736
23	0.0002	2.9736
24	0.0	2.9736
25	0.0006	2.9736
26	0.0006	2.9736
27	0.0	2.9736
28	0.0	2.9736
29	0.0	2.9736
