pontuacao	frequencia	media
-8	0.001	6.527040000000262
-7	0.0002	6.527040000000262
-6	0.0026	6.527040000000262
-5	0.001	6.527040000000262
-4	0.0128	6.527040000000262
-3	0.0092	6.527040000000262
-2	0.035	6.527040000000262
-1	0.0264	6.527040000000262
0	0.0518	6.527040000000262
1	0.067	6.527040000000262
2	0.03	6.527040000000262
3	0.0888	6.527040000000262
4	0.0662	6.527040000000262
5	0.0538	6.527040000000262
6	0.0922	6.527040000000262
7	0.0476	6.527040000000262
8	0.0618	6.527040000000262
9	0.0572	6.527040000000262
10	0.0344	6.527040000000262
11	0.0526	6.527040000000262
12	0.0398	6.527040000000262
13	0.0308	6.527040000000262
14	0.0256	6.527040000000262
15	0.0194	6.527040000000262
16	0.0232	6.527040000000262
17	0.0164	6.527040000000262
18	0.0096	6.527040000000262
19	0.012	6.527040000000262
20	0.0082	6.527040000000262
21	0.0058	6.527040000000262
22	0.0052	6.527040000000262
23	0.0022	6.527040000000262
24	0.0034	6.527040000000262
25	0.0008	6.527040000000262
26	0.0014	6.527040000000262
27	0.0004	6.527040000000262
28	0.0006	6.527040000000262
29	0.0012	6.527040000000262
30	0.0006	6.527040000000262
31	0.0006	6.527040000000262
32	0.0004	6.527040000000262
33	0.0006	6.527040000000262
34	0.0	6.527040000000262
35	0.0	6.527040000000262
36	0.0	6.527040000000262
37	0.0	6.527040000000262
