pontuacao	frequencia	media
-7	0.0004	0.4091600000000094
-6	0.0016	0.4091600000000094
-5	0.003	0.4091600000000094
-4	0.0136	0.4091600000000094
-3	0.0196	0.4091600000000094
-2	0.0784	0.4091600000000094
-1	0.0942	0.4091600000000094
0	0.2386	0.4091600000000094
1	0.1926	0.4091600000000094
2	0.1684	0.4091600000000094
3	0.094	0.4091600000000094
4	0.0574	0.4091600000000094
5	0.0216	0.4091600000000094
6	0.0116	0.4091600000000094
7	0.003	0.4091600000000094
8	0.0016	0.4091600000000094
9	0.0002	0.4091600000000094
