pontuacao	frequencia	media
-2	0.0006	2.966960000000019
-1	0.0228	2.966960000000019
0	0.1642	2.966960000000019
1	0.215	2.966960000000019
2	0.1696	2.966960000000019
3	0.0994	2.966960000000019
4	0.0474	2.966960000000019
5	0.0462	2.966960000000019
6	0.0434	2.966960000000019
7	0.0308	2.966960000000019
8	0.0402	2.966960000000019
9	0.0408	2.966960000000019
10	0.0268	2.966960000000019
11	0.0148	2.966960000000019
12	0.0076	2.966960000000019
13	0.0056	2.966960000000019
14	0.0056	2.966960000000019
15	0.0032	2.966960000000019
16	0.0048	2.966960000000019
17	0.0036	2.966960000000019
18	0.0022	2.966960000000019
19	0.002	2.966960000000019
20	0.001	2.966960000000019
21	0.0004	2.966960000000019
22	0.0006	2.966960000000019
23	0.001	2.966960000000019
24	0.0	2.966960000000019
25	0.0002	2.966960000000019
