pontuacao	frequencia	media
-6	0.0006	9.846679999999997
-5	0.001	9.846679999999997
-4	0.0042	9.846679999999997
-3	0.0102	9.846679999999997
-2	0.0196	9.846679999999997
-1	0.0244	9.846679999999997
0	0.0512	9.846679999999997
1	0.0514	9.846679999999997
2	0.0532	9.846679999999997
3	0.0392	9.846679999999997
4	0.034	9.846679999999997
5	0.0294	9.846679999999997
6	0.042	9.846679999999997
7	0.0444	9.846679999999997
8	0.0562	9.846679999999997
9	0.0656	9.846679999999997
10	0.0578	9.846679999999997
11	0.0414	9.846679999999997
12	0.0376	9.846679999999997
13	0.0264	9.846679999999997
14	0.0254	9.846679999999997
15	0.0274	9.846679999999997
16	0.0338	9.846679999999997
17	0.0312	9.846679999999997
18	0.0286	9.846679999999997
19	0.0244	9.846679999999997
20	0.0184	9.846679999999997
21	0.0122	9.846679999999997
22	0.0126	9.846679999999997
23	0.0112	9.846679999999997
24	0.0102	9.846679999999997
25	0.0166	9.846679999999997
26	0.0104	9.846679999999997
27	0.008	9.846679999999997
28	0.0066	9.846679999999997
29	0.0054	9.846679999999997
30	0.0036	9.846679999999997
31	0.0034	9.846679999999997
32	0.002	9.846679999999997
33	0.0024	9.846679999999997
34	0.0028	9.846679999999997
35	0.0028	9.846679999999997
36	0.0022	9.846679999999997
37	0.0024	9.846679999999997
38	0.0012	9.846679999999997
39	0.0008	9.846679999999997
40	0.0006	9.846679999999997
41	0.001	9.846679999999997
42	0.0002	9.846679999999997
43	0.0008	9.846679999999997
44	0.0004	9.846679999999997
45	0.0002	9.846679999999997
46	0.0002	9.846679999999997
47	0.0	9.846679999999997
48	0.0002	9.846679999999997
49	0.0002	9.846679999999997
50	0.0	9.846679999999997
51	0.0002	9.846679999999997
52	0.0	9.846679999999997
53	0.0	9.846679999999997
54	0.0	9.846679999999997
