pontuacao	frequencia	media
-11	0.0002	5.073800000000024
-10	0.0004	5.073800000000024
-9	0.001	5.073800000000024
-8	0.0016	5.073800000000024
-7	0.0022	5.073800000000024
-6	0.0048	5.073800000000024
-5	0.0112	5.073800000000024
-4	0.0154	5.073800000000024
-3	0.0244	5.073800000000024
-2	0.0328	5.073800000000024
-1	0.0442	5.073800000000024
0	0.0552	5.073800000000024
1	0.0642	5.073800000000024
2	0.0674	5.073800000000024
3	0.075	5.073800000000024
4	0.0696	5.073800000000024
5	0.0708	5.073800000000024
6	0.0712	5.073800000000024
7	0.0606	5.073800000000024
8	0.0546	5.073800000000024
9	0.0482	5.073800000000024
10	0.0346	5.073800000000024
11	0.0346	5.073800000000024
12	0.0304	5.073800000000024
13	0.0274	5.073800000000024
14	0.0214	5.073800000000024
15	0.0196	5.073800000000024
16	0.0122	5.073800000000024
17	0.01	5.073800000000024
18	0.007	5.073800000000024
19	0.008	5.073800000000024
20	0.0048	5.073800000000024
21	0.0042	5.073800000000024
22	0.0034	5.073800000000024
23	0.0018	5.073800000000024
24	0.0012	5.073800000000024
25	0.0014	5.073800000000024
26	0.001	5.073800000000024
27	0.0014	5.073800000000024
28	0.0002	5.073800000000024
29	0.0002	5.073800000000024
