index	Jogador	Time	Posicao	preco_cartoleta
0	Henrique Dourado	Fluminense	Atacante	22.770000000000916
1	Vanderlei	Santos	Goleiro	22.47000000000095
2	Lucca	Ponte Preta	Atacante	21.360000000000525
3	Gatito Fernández	Botafogo	Goleiro	20.880000000001015
4	Luan	Grêmio	Atacante	20.86999999999899
5	Diego	Flamengo	Meia	19.850000000001298
6	Zé Rafael 	Bahia	Meia	19.77000000000044
7	Nino Paraíba	Ponte Preta	Lateral	19.649999999998748
8	Thiago Neves	Cruzeiro	Meia	17.21000000000095
9	Dudu	Palmeiras	Atacante	16.88999999999949
10	Régis	Bahia	Meia	16.460000000000697
11	Clayson	Corinthians	Atacante	16.36000000000051
12	Diego Souza	Sport	Meia	15.889999999999494
13	Sornoza	Fluminense	Meia	15.809999999998874
14	Ramiro	Grêmio	Meia	15.730000000000498
15	Borja	Palmeiras	Atacante	15.669999999998636
16	Rodriguinho	Corinthians	Meia	15.539999999999639
17	Jean	Palmeiras	Lateral	15.269999999999365
18	Hernanes	São Paulo	Meia	15.08000000000135
19	Fred	Atlético-MG	Atacante	14.990000000000075
20	Yerry Mina	Palmeiras	Zagueiro	14.960000000000129
21	Lucas Pratto	São Paulo	Atacante	14.849999999999776
22	Fernando Prass	Palmeiras	Goleiro	14.66000000000187
23	Henrique Almeida	Coritiba	Atacante	14.45999999999991
24	Wendel	Fluminense	Meia	14.349999999999566
25	Alisson	Cruzeiro	Meia	14.33000000000133
26	Jucilei	São Paulo	Meia	14.27999999999917
27	Alejandro Guerra	Palmeiras	Meia	14.179999999999717
28	Wilson	Coritiba	Goleiro	14.139999999999503
29	Luis Fabiano	Vasco	Atacante	14.040000000000282
30	Edson	Bahia	Meia	13.949999999998699
31	Everton	Flamengo	Meia	13.87999999999918
32	Pedro Geromel	Grêmio	Zagueiro	13.739999999999608
33	Fernandinho	Grêmio	Atacante	13.69000000000094
34	Fagner	Corinthians	Lateral	13.66999999999869
35	Nenê	Vasco	Meia	13.62999999999908
36	Sidcley	Atlético-PR	Lateral	13.610000000000495
37	Cássio	Corinthians	Goleiro	13.580000000001307
38	Bruno Henrique	Santos	Atacante	13.099999999998973
39	Fábio	Cruzeiro	Goleiro	13.040000000000758
40	Diogo Barbosa	Cruzeiro	Lateral	13.010000000000657
41	Éverton Ribeiro	Flamengo	Meia	12.849999999998982
42	Jô	Corinthians	Atacante	12.75
43	Reinaldo	Chapecoense	Lateral	12.620000000001086
44	Aranha	Ponte Preta	Goleiro	12.470000000000782
45	Kleber	Coritiba	Atacante	12.459999999999246
46	Victor Luis	Botafogo	Lateral	12.44999999999889
47	Marllon	Ponte Preta	Zagueiro	12.430000000000266
48	Elias	Atlético-MG	Meia	12.309999999999215
49	Capa	Avaí	Lateral	12.239999999999432
50	Gilberto 	Vasco	Lateral	12.220000000000775
51	Júnior Tavares	São Paulo	Lateral	12.180000000000266
52	David Braz	Santos	Zagueiro	12.129999999998976
53	Gustavo Scarpa	Fluminense	Meia	11.940000000000737
54	Bruno Silva	Botafogo	Meia	11.930000000000264
55	Robinho	Atlético-MG	Atacante	11.900000000000984
56	Balbuena	Corinthians	Zagueiro	11.88999999999952
57	Ángel Romero	Corinthians	Atacante	11.870000000000989
58	Pablo	Corinthians	Zagueiro	11.839999999998515
59	Arthur 	Chapecoense	Atacante	11.819999999999736
60	Fernando Miguel	Vitória	Goleiro	11.739999999999494
61	Tomas Bastos	Coritiba	Meia	11.59999999999903
62	Paolo Guerrero	Flamengo	Atacante	11.480000000001157
63	João Lucas	Ponte Preta	Lateral	11.26000000000044
64	Guilherme Arana	Corinthians	Lateral	11.239999999999561
65	Geferson	Vitória	Lateral	11.19000000000063
66	Rithely	Sport	Meia	11.08999999999865
67	Jean	Bahia	Goleiro	11.08999999999865
68	Bruno Henrique	Palmeiras	Meia	11.069999999999737
69	Pedro Rocha	Grêmio	Atacante	10.989999999999599
70	Matheus Savio	Flamengo	Meia	10.989999999999599
71	Zeca	Santos	Lateral	10.959999999999262
72	Patrick	Sport	Meia	10.959999999999262
73	Bruno Cortez	Grêmio	Lateral	10.949999999999138
74	Victor	Atlético-MG	Goleiro	10.90000000000094
75	André	Sport	Atacante	10.769999999998976
76	Everton	Grêmio	Atacante	10.680000000000263
77	Juninho	Bahia	Meia	10.660000000001263
78	Miller Bolaños	Grêmio	Atacante	10.620000000000797
79	Renê Júnior	Bahia	Meia	10.559999999999471
80	Fagner Alemão	Avaí	Lateral	10.5
81	Michel 	Grêmio	Meia	10.449999999999235
82	Guilherme	Atlético-PR	Meia	10.440000000000508
83	Thiago Heleno	Atlético-PR	Zagueiro	10.430000000000263
84	Wellington Silva	Fluminense	Atacante	10.2799999999993
85	Léo Moura	Grêmio	Lateral	10.2799999999993
86	Otávio 	Atlético-PR	Meia	10.19999999999929
87	Jean	Vasco	Meia	10.19999999999929
88	Victor Ferraz	Santos	Lateral	10.180000000000263
89	Allione	Bahia	Meia	10.12999999999929
90	Rildo	Coritiba	Atacante	9.970000000000686
91	Kannemann	Grêmio	Zagueiro	9.940000000000417
92	Réver	Flamengo	Zagueiro	9.93000000000026
93	Rodrigo Lindoso	Botafogo	Meia	9.80000000000062
94	Ricardo Oliveira	Santos	Atacante	9.760000000000195
95	Rafael Sobis	Cruzeiro	Atacante	9.690000000000367
96	Neto Berola	Coritiba	Atacante	9.690000000000367
97	Geuvânio	Flamengo	Atacante	9.680000000000259
98	Gilson	Botafogo	Lateral	9.660000000001032
99	Rodrigo	Ponte Preta	Zagueiro	9.650000000000873
100	Pedro Henrique	Corinthians	Zagueiro	9.610000000000458
101	Petros	São Paulo	Meia	9.540000000000717
102	Wellington Paulista	Chapecoense	Atacante	9.540000000000717
103	Kieza	Vitória	Atacante	9.529999999999335
104	Rodrigo Caio	São Paulo	Zagueiro	9.519999999999264
105	Edigar Junio	Bahia	Atacante	9.519999999999264
106	Marcos Guilherme 	São Paulo	Meia	9.419999999998886
107	Lucas Barrios	Grêmio	Atacante	9.410000000000966
108	Yago Pikachu	Vasco	Lateral	9.410000000000966
109	Kanu	Vitória	Zagueiro	9.379999999999445
110	Cueva	São Paulo	Meia	9.360000000000454
111	Douglas Friedrich	Avaí	Goleiro	9.360000000000454
112	Dodô	Coritiba	Lateral	9.339999999999053
113	Jefferson	Botafogo	Goleiro	9.330000000001109
114	Willian Farias	Vitória	Meia	9.330000000001109
115	Igor Rabello	Botafogo	Zagueiro	9.319999999999741
116	Edílson	Grêmio	Lateral	9.319999999999741
117	Léo	Cruzeiro	Zagueiro	9.309999999999713
118	Márcio Araújo	Flamengo	Meia	9.290000000000713
119	Vitor Bueno	Santos	Meia	9.290000000000713
120	Sander	Sport	Lateral	9.260000000000096
121	Jadson	Corinthians	Meia	9.199999999999529
122	Jonathan	Atlético-PR	Lateral	9.120000000000498
123	Felipe Santana	Atlético-MG	Zagueiro	9.11000000000045
124	Romulo	Avaí	Atacante	9.11000000000045
125	Cazares	Atlético-MG	Meia	9.08000000000109
126	Mateus Vital	Vasco	Meia	9.059999999999768
127	Rodinei	Flamengo	Lateral	9.05000000000043
128	Gabriel	Atlético-MG	Zagueiro	9.0
129	Roger	Botafogo	Atacante	8.980000000000588
130	Willian Arão	Flamengo	Meia	8.930000000000257
131	Marcos Rocha	Atlético-MG	Lateral	8.910000000000824
132	Arnaldo	Botafogo	Lateral	8.900000000000825
133	Dedé	Cruzeiro	Zagueiro	8.860000000000449
134	Arthur	Grêmio	Meia	8.849999999999179
135	Leandro Silva	Avaí	Lateral	8.779999999999378
136	Vladimir Hernández	Santos	Atacante	8.74000000000002
137	Marcelo Grohe	Grêmio	Goleiro	8.74000000000002
138	Marquinhos Gabriel	Corinthians	Meia	8.74000000000002
139	Maycon	Corinthians	Meia	8.730000000000514
140	Gabriel	Corinthians	Meia	8.660000000000748
141	Edu Dracena	Palmeiras	Zagueiro	8.650000000000807
142	Juninho	Vitória	Lateral	8.620000000000374
143	Werley	Coritiba	Zagueiro	8.580000000001053
144	Leonardo Silva	Atlético-MG	Zagueiro	8.540000000000699
145	Tiago 	Bahia	Zagueiro	8.529999999999394
146	Juninho	Palmeiras	Zagueiro	8.49000000000008
147	Paulinho	Atlético-GO	Meia	8.49000000000008
148	Pará	Flamengo	Lateral	8.459999999999303
149	Nikão	Atlético-PR	Meia	8.440000000000078
150	Renan Ribeiro	São Paulo	Goleiro	8.400000000000787
151	Marcão Silva	Atlético-GO	Meia	8.400000000000787
152	Arboleda	São Paulo	Zagueiro	8.38999999999956
153	Luiz Antonio 	Chapecoense	Meia	8.37999999999969
154	Henrique	Vasco	Lateral	8.370000000000308
155	Fernando Bob	Ponte Preta	Meia	8.36000000000044
156	Conca	Flamengo	Meia	8.349999999999216
157	Lucas Romero	Cruzeiro	Meia	8.290000000000692
158	Joel Carli	Botafogo	Zagueiro	8.290000000000692
159	Ronaldo Alves	Sport	Zagueiro	8.27999999999941
160	Neilton	Vitória	Atacante	8.27999999999941
161	Felipe Melo	Palmeiras	Meia	8.269999999999635
162	Jonas	Coritiba	Meia	8.220000000000585
163	Ravanelli	Ponte Preta	Meia	8.160000000000581
164	Alan Costa	Vitória	Zagueiro	8.160000000000581
