index	Jogador	Time	Posicao	preco_cartoleta
0	Vanderlei	Santos	Goleiro	22.92999999999716
1	Henrique Dourado	Fluminense	Atacante	22.600000000001852
2	Zé Rafael 	Bahia	Meia	20.11999999999912
3	Gatito Fernández	Botafogo	Goleiro	20.08999999999769
4	Diego	Flamengo	Meia	19.630000000000784
5	Lucca	Ponte Preta	Atacante	19.5399999999984
6	Luan	Grêmio	Atacante	19.479999999999617
7	Nino Paraíba	Ponte Preta	Lateral	19.330000000001437
8	Thiago Neves	Cruzeiro	Meia	18.880000000000628
9	Hernanes	São Paulo	Meia	17.830000000001412
10	Dudu	Palmeiras	Atacante	16.940000000001206
11	Clayson	Corinthians	Atacante	15.509999999999753
12	Ramiro	Grêmio	Meia	15.330000000001359
13	Diego Souza	Sport	Meia	15.070000000000679
14	Lucas Pratto	São Paulo	Atacante	14.960000000000129
15	Borja	Palmeiras	Atacante	14.94999999999859
16	Bruno Henrique	Santos	Atacante	14.400000000000412
17	Fagner	Corinthians	Lateral	14.099999999999456
18	Rodriguinho	Corinthians	Meia	14.07000000000023
19	Régis	Bahia	Meia	14.0
20	Edson	Bahia	Meia	13.959999999999678
21	Alisson	Cruzeiro	Meia	13.940000000000964
22	Reinaldo	Chapecoense	Lateral	13.919999999998682
23	Pedro Geromel	Grêmio	Zagueiro	13.910000000001784
24	Yerry Mina	Palmeiras	Zagueiro	13.889999999999505
25	Fred	Atlético-MG	Atacante	13.889999999999505
26	Wilson	Coritiba	Goleiro	13.839999999998225
27	Diogo Barbosa	Cruzeiro	Lateral	13.839999999998225
28	Fernando Prass	Palmeiras	Goleiro	13.730000000001164
29	Henrique Almeida	Coritiba	Atacante	13.639999999999505
30	Jean	Palmeiras	Lateral	13.529999999999188
31	Everton	Flamengo	Meia	13.37000000000103
32	Jean	Bahia	Goleiro	13.279999999999195
33	Nenê	Vasco	Meia	13.220000000000804
34	Victor	Atlético-MG	Goleiro	13.0199999999986
35	Marcos Rocha	Atlético-MG	Lateral	12.910000000001652
36	Jucilei	São Paulo	Meia	12.75
37	Sidcley	Atlético-PR	Lateral	12.75
38	Jô	Corinthians	Atacante	12.580000000001274
39	Victor Luis	Botafogo	Lateral	12.540000000000754
40	Sornoza	Fluminense	Meia	12.480000000001322
41	David Braz	Santos	Zagueiro	12.44999999999889
42	Kannemann	Grêmio	Zagueiro	12.4400000000008
43	Robinho	Atlético-MG	Atacante	12.26999999999871
44	Éverton Ribeiro	Flamengo	Meia	12.230000000001281
45	Gustavo Scarpa	Fluminense	Meia	12.110000000000483
46	Ángel Romero	Corinthians	Atacante	12.110000000000483
47	Alejandro Guerra	Palmeiras	Meia	12.029999999999232
48	Aranha	Ponte Preta	Goleiro	12.0
49	Júnior Tavares	São Paulo	Lateral	11.870000000000989
50	Renê Júnior	Bahia	Meia	11.86000000000048
51	Wendel	Fluminense	Meia	11.75
52	Fábio	Cruzeiro	Goleiro	11.669999999998764
53	Patrick	Sport	Meia	11.63999999999952
54	Zeca	Santos	Lateral	11.620000000000955
55	Ramon	Vasco	Lateral	11.580000000001233
56	Bruno Silva	Botafogo	Meia	11.580000000001233
57	Elias	Atlético-MG	Meia	11.559999999999317
58	Igor Rabello	Botafogo	Zagueiro	11.5
59	Arthur 	Chapecoense	Atacante	11.480000000001157
60	Réver	Flamengo	Zagueiro	11.400000000000963
61	Capa	Avaí	Lateral	11.370000000000918
62	Diego Alves	Flamengo	Goleiro	11.360000000000477
63	Paolo Guerrero	Flamengo	Atacante	11.33000000000122
64	Luis Fabiano	Vasco	Atacante	11.300000000000926
65	Bruno Cortez	Grêmio	Lateral	11.26000000000044
66	Tomas Bastos	Coritiba	Meia	11.25
67	Ricardo Oliveira	Santos	Atacante	11.180000000000263
68	Pablo	Corinthians	Zagueiro	11.139999999999526
69	Marllon	Ponte Preta	Zagueiro	11.099999999999051
70	Petros	São Paulo	Meia	11.029999999999266
71	André	Sport	Atacante	11.0
72	Gilberto 	Vasco	Lateral	10.959999999999262
73	Cássio	Corinthians	Goleiro	10.940000000000591
74	Rithely	Sport	Meia	10.830000000001197
75	Otero	Atlético-MG	Meia	10.790000000000735
76	Leonardo Silva	Atlético-MG	Zagueiro	10.61000000000047
77	Arnaldo	Botafogo	Lateral	10.580000000001185
78	Juninho	Bahia	Meia	10.51999999999903
79	Everton	Grêmio	Atacante	10.5
80	Balbuena	Corinthians	Zagueiro	10.480000000000961
81	Fernandinho	Grêmio	Atacante	10.47000000000071
82	Rodrigo Lindoso	Botafogo	Meia	10.459999999999269
83	Willian Arão	Flamengo	Meia	10.370000000000754
84	Roger	Botafogo	Atacante	10.309999999999516
85	Cueva	São Paulo	Meia	10.190000000000463
86	Edílson	Grêmio	Lateral	10.150000000000903
87	Matheus Savio	Flamengo	Meia	10.0999999999991
88	Edigar Junio	Bahia	Atacante	10.06999999999974
89	Marcelo Grohe	Grêmio	Goleiro	10.040000000000724
90	Moisés	Palmeiras	Meia	10.0
91	Tiago 	Bahia	Zagueiro	9.98000000000085
92	Anderson Martins	Vasco	Zagueiro	9.849999999999115
93	Jean	Vasco	Meia	9.839999999998923
94	Bruno Henrique	Palmeiras	Meia	9.839999999998923
95	Gabriel	Atlético-MG	Zagueiro	9.809999999999608
96	Jadson	Corinthians	Meia	9.80000000000062
97	Fagner Alemão	Avaí	Lateral	9.720000000000676
98	Henrique	Fluminense	Zagueiro	9.680000000000259
99	Léo Moura	Grêmio	Lateral	9.669999999998868
100	Marcos Guilherme 	São Paulo	Meia	9.669999999998868
101	Wallace Reis 	Vitória	Zagueiro	9.639999999999542
102	Fernando Miguel	Vitória	Goleiro	9.620000000000609
103	Jefferson	Botafogo	Goleiro	9.569999999999741
104	Victor Ferraz	Santos	Lateral	9.55000000000056
105	Rodinei	Flamengo	Lateral	9.5
106	Guilherme Arana	Corinthians	Lateral	9.489999999999856
107	Kleber	Coritiba	Atacante	9.459999999999283
108	Gilson	Botafogo	Lateral	9.410000000000966
109	Jonas	Coritiba	Meia	9.349999999999145
110	Willian Farias	Vitória	Meia	9.330000000001109
111	Vitor Bueno	Santos	Meia	9.290000000000713
112	Thiago Heleno	Atlético-PR	Zagueiro	9.279999999999347
113	Joel Carli	Botafogo	Zagueiro	9.26999999999933
114	Rafael Sobis	Cruzeiro	Atacante	9.26999999999933
115	Geferson	Vitória	Lateral	9.220000000000647
116	Yago Pikachu	Vasco	Lateral	9.129999999999502
117	Pará	Flamengo	Lateral	9.08999999999912
118	Leandro Silva	Avaí	Lateral	9.069999999999743
119	Allione	Bahia	Meia	9.069999999999743
120	Wellington Paulista	Chapecoense	Atacante	9.059999999999768
121	Léo	Cruzeiro	Zagueiro	9.040000000000708
122	Arboleda	São Paulo	Zagueiro	9.040000000000708
123	Guilherme	Atlético-PR	Meia	9.0
124	Lucas Barrios	Grêmio	Atacante	9.0
125	Mateus Vital	Vasco	Meia	8.970000000000635
126	Douglas Friedrich	Avaí	Goleiro	8.949999999999596
127	Renan Ribeiro	São Paulo	Goleiro	8.900000000000825
128	Keno	Palmeiras	Atacante	8.879999999999558
129	Sander	Sport	Lateral	8.879999999999558
130	Michel 	Grêmio	Meia	8.870000000000438
131	Dedé	Cruzeiro	Zagueiro	8.860000000000449
132	Mayke	Palmeiras	Lateral	8.830000000001073
133	Egídio	Palmeiras	Lateral	8.80999999999983
134	Valdívia	Atlético-MG	Meia	8.759999999999986
135	Juninho	Palmeiras	Zagueiro	8.690000000000142
136	Arthur	Grêmio	Meia	8.650000000000807
137	Júnior Dutra	Avaí	Atacante	8.650000000000807
138	Rodrigo	Ponte Preta	Zagueiro	8.639999999999556
139	Lucas Veríssimo	Santos	Zagueiro	8.550000000000287
140	Deyverson	Palmeiras	Atacante	8.509999999999925
141	Neto Berola	Coritiba	Atacante	8.5
142	Edu Dracena	Palmeiras	Zagueiro	8.49000000000008
143	Gabriel	Corinthians	Meia	8.470000000000603
144	Orejuela	Fluminense	Meia	8.440000000000078
145	Jonathan	Atlético-PR	Lateral	8.419999999998959
146	Pedro Henrique	Corinthians	Zagueiro	8.419999999998959
147	Rodrigo Pimpão	Botafogo	Atacante	8.419999999998959
148	Cazares	Atlético-MG	Meia	8.370000000000308
149	Conca	Flamengo	Meia	8.349999999999216
150	Rhodolfo	Flamengo	Zagueiro	8.30999999999996
151	Wellington Silva	Fluminense	Atacante	8.290000000000692
152	Diego Rosa	Atlético-GO	Meia	8.27999999999941
153	Bruno Pacheco	Atlético-GO	Lateral	8.220000000000585
154	Rildo	Coritiba	Atacante	8.180000000000256
155	Ravanelli	Ponte Preta	Meia	8.160000000000581
156	Manoel	Cruzeiro	Zagueiro	8.160000000000581
157	Marquinhos Gabriel	Corinthians	Meia	8.150000000000768
158	Felipe Gedoz 	Atlético-PR	Meia	8.139999999999565
159	Márcio Araújo	Flamengo	Meia	8.12999999999976
160	Kieza	Vitória	Atacante	8.040000000000688
161	Kanu	Vitória	Zagueiro	7.860000000000431
162	Felipe Santana	Atlético-MG	Zagueiro	7.860000000000431
163	Willian	Palmeiras	Atacante	7.800000000000034
164	Dodô	Coritiba	Lateral	7.720000000000549
165	Romulo	Avaí	Atacante	7.720000000000549
166	Ronaldo Alves	Sport	Zagueiro	7.7099999999993205
167	Mancuello	Flamengo	Meia	7.700000000000005
168	Mauricio Kozlinski	Avaí	Goleiro	7.689999999999856
169	Tchê Tchê	Palmeiras	Meia	7.639999999999573
170	Copete	Santos	Atacante	7.589999999999639
171	Luiz Antonio 	Chapecoense	Meia	7.589999999999639
172	Arrascaeta	Cruzeiro	Meia	7.580000000000962
173	Ribamar	Atlético-PR	Atacante	7.580000000000962
174	Geuvânio	Flamengo	Atacante	7.569999999999748
175	Apodi	Chapecoense	Lateral	7.569999999999748
176	Werley	Coritiba	Zagueiro	7.560000000000186
177	Felipe Melo	Palmeiras	Meia	7.5499999999999385
178	Rafael Vaz	Flamengo	Zagueiro	7.540000000000675
179	Roger Carvalho	Atlético-GO	Zagueiro	7.509999999999644
180	Cléber Reis	Coritiba	Zagueiro	7.509999999999644
181	Fernando Bob	Ponte Preta	Meia	7.490000000000363
182	Thiago Carleto	Coritiba	Lateral	7.480000000000064
183	Paulo Victor	Grêmio	Goleiro	7.470000000000528
184	Jailson	Palmeiras	Goleiro	7.450000000000101
185	Sassá	Cruzeiro	Atacante	7.43000000000025
186	Walter	Atlético-GO	Atacante	7.419999999999056
187	Sidão	São Paulo	Goleiro	7.419999999999056
188	Betão	Avaí	Zagueiro	7.38999999999958
189	Lucas Romero	Cruzeiro	Meia	7.38999999999958
190	Nikão	Atlético-PR	Meia	7.36000000000042
191	Fabrício	Atlético-PR	Lateral	7.36000000000042
192	Marcelo Oliveira	Grêmio	Lateral	7.36000000000042
193	Maycon	Corinthians	Meia	7.330000000000935
194	Eduardo	Bahia	Lateral	7.3100000000002705
195	Rafinha	Cruzeiro	Meia	7.29000000000067
196	Buffarini	São Paulo	Lateral	7.2799999999994895
197	Vladimir Hernández	Santos	Atacante	7.2799999999994895
198	Maicon	Grêmio	Meia	7.25999999999956
199	Henrique	Vasco	Lateral	7.189999999999684
200	Wellington Nem	São Paulo	Atacante	7.130000000000095
201	Patric	Vitória	Lateral	7.099999999999335
202	Durval	Sport	Zagueiro	7.080000000000907
203	Alan Costa	Vitória	Zagueiro	7.020000000000141
204	Zé Roberto	Palmeiras	Lateral	6.990000000000534
205	David	Vitória	Atacante	6.93999999999959
206	Neilton	Vitória	Atacante	6.9100000000000525
207	Hudson	Cruzeiro	Meia	6.900000000000642
208	Guilherme	Botafogo	Atacante	6.880000000000192
209	William Matheus	Coritiba	Lateral	6.880000000000192
210	Martín Silva	Vasco	Goleiro	6.830000000000876
211	Robinho	Cruzeiro	Meia	6.799999999999612
212	Trauco	Flamengo	Lateral	6.729999999999714
213	Mena	Sport	Lateral	6.720000000000457
214	Cuéllar	Flamengo	Meia	6.720000000000457
215	Brenner	Botafogo	Atacante	6.720000000000457
216	Marcão Silva	Atlético-GO	Meia	6.709999999999348
217	Anselmo	Sport	Meia	6.689999999999488
218	Juninho	Vitória	Lateral	6.689999999999488
219	Rogério	Sport	Atacante	6.680000000000246
220	André Lima	Vitória	Atacante	6.669999999999145
221	Mendoza	Bahia	Atacante	6.630000000000298
222	Léo Gamalho	Ponte Preta	Atacante	6.619999999999697
223	Matheus Galdezani	Coritiba	Meia	6.5900000000001135
224	Paulinho	Atlético-GO	Meia	6.580000000000843
225	Róger Guedes	Palmeiras	Atacante	6.580000000000843
226	Andrigo	Atlético-GO	Meia	6.490000000000697
227	Luan	Palmeiras	Zagueiro	6.360000000000395
228	Alison	Santos	Meia	6.319999999999756
229	Renato Cajá	Ponte Preta	Meia	6.319999999999756
230	Euller 	Vitória	Lateral	6.310000000000543
231	Ezequiel 	Cruzeiro	Lateral	6.270000000000377
232	Lucas Fonseca	Bahia	Zagueiro	6.270000000000377
233	Renê	Flamengo	Lateral	6.270000000000377
234	Alan Santos	Coritiba	Meia	6.259999999999336
235	Seijas	Chapecoense	Meia	6.209999999999367
236	Magrão	Sport	Goleiro	6.180000000000243
237	Edimar	São Paulo	Lateral	6.180000000000243
238	Jandrei	Chapecoense	Goleiro	6.180000000000243
239	Vinícius	Bahia	Meia	6.1699999999992166
240	Henrique	Cruzeiro	Meia	6.1699999999992166
241	Thomás	Sport	Meia	6.159999999999867
242	Juan	Flamengo	Zagueiro	6.119999999999716
243	Nilmar	Santos	Atacante	6.080000000000769
244	Tréllez	Vitória	Atacante	6.080000000000769
245	Jean Mota	Santos	Meia	6.049999999999504
246	Marcos Vinícius	Botafogo	Meia	6.020000000000374
247	Douglas	Fluminense	Meia	5.990000000000621
248	Lucho González	Atlético-PR	Meia	5.950000000000492
249	Oswaldo Henríquez	Sport	Zagueiro	5.93000000000024
250	Luan	Atlético-MG	Atacante	5.909999999999868
251	Emerson Silva	Botafogo	Zagueiro	5.900000000000505
252	Maicosuel	São Paulo	Meia	5.900000000000505
253	Emerson Sheik	Ponte Preta	Atacante	5.8899999999996195
254	Clayton	Atlético-MG	Atacante	5.8899999999996195
255	Eduardo da Silva	Atlético-PR	Atacante	5.869999999999747
256	Leandro Salino	Vitória	Lateral	5.869999999999747
257	Leandro Pereira	Sport	Atacante	5.860000000000379
258	Thiago Santos	Palmeiras	Meia	5.849999999999504
259	Diego Tavares	Avaí	Lateral	5.830000000000727
260	Jorginho	Atlético-GO	Meia	5.81999999999976
261	Michel Bastos	Palmeiras	Meia	5.790000000000616
262	Douglas Grolli	Chapecoense	Zagueiro	5.790000000000616
263	Marcos Calazans	Fluminense	Atacante	5.759999999999418
264	Matheus Ribeiro	Santos	Lateral	5.759999999999418
265	Pavez	Atlético-PR	Meia	5.729999999999628
266	Renato	Santos	Meia	5.720000000000333
267	Raul Prata	Sport	Lateral	5.709999999999387
268	Rafael Thyere	Grêmio	Zagueiro	5.68999999999954
269	Bryan	Cruzeiro	Lateral	5.68999999999954
270	Naldo	Ponte Preta	Meia	5.669999999999302
271	Marquinhos	Sport	Atacante	5.659999999999868
272	Airton	Botafogo	Meia	5.63000000000022
273	Uillian Correia	Vitória	Meia	5.599999999999547
274	Gum	Fluminense	Zagueiro	5.56000000000044
275	João Pedro 	Chapecoense	Lateral	5.529999999999695
276	Marlon	Fluminense	Lateral	5.509999999999463
277	Richard	Fluminense	Meia	5.490000000000532
278	Matheus Rossetto	Atlético-PR	Meia	5.490000000000532
279	Luiz Fernando 	Atlético-GO	Meia	5.490000000000532
280	Cleiton Xavier	Vitória	Meia	5.479999999999631
281	Jeferson	Ponte Preta	Lateral	5.459999999999399
282	Santos	Atlético-PR	Goleiro	5.430000000000236
283	Maicon	Avaí	Lateral	5.400000000000416
284	Fábio Santos	Atlético-MG	Lateral	5.380000000000184
285	Marcio	Coritiba	Zagueiro	5.369999999999818
286	Danilo Barcelos	Ponte Preta	Meia	5.330000000000632
287	Rafael Moura	Atlético-MG	Atacante	5.299999999999537
288	Alex Silva	Atlético-MG	Lateral	5.2900000000005925
289	Ariel Cabral	Cruzeiro	Meia	5.2900000000005925
290	Fernandinho	Ponte Preta	Lateral	5.259999999999515
291	Luiz Otávio 	Chapecoense	Zagueiro	5.259999999999515
292	Marcelo	Botafogo	Zagueiro	5.25
293	Weverton	Atlético-PR	Goleiro	5.25
294	Túlio de Melo	Chapecoense	Atacante	5.220000000000254
295	Élber	Cruzeiro	Meia	5.200000000000458
296	Luan	Avaí	Meia	5.159999999999869
297	Júlio César	Fluminense	Goleiro	5.150000000000366
298	Giovanni Augusto	Corinthians	Meia	5.150000000000366
299	João Paulo	Coritiba	Meia	5.13999999999965
300	Marlone	Atlético-MG	Meia	5.130000000000143
301	Felipe Vizeu	Flamengo	Atacante	5.130000000000143
302	Alex Muralha	Flamengo	Goleiro	5.110000000000349
303	Gustavo Ferrareis	Bahia	Meia	5.110000000000349
304	Romulo	Flamengo	Meia	5.0800000000005765
305	Gilvan	Atlético-GO	Zagueiro	5.0800000000005765
306	Judson	Avaí	Meia	5.04999999999955
307	Deivid	Atlético-PR	Meia	5.040000000000578
308	Paulão	Vasco	Zagueiro	5.040000000000578
309	Fabrício Bruno	Chapecoense	Zagueiro	5.040000000000578
310	Wagner	Vasco	Meia	5.040000000000578
311	Kelvin	Vasco	Atacante	5.02999999999978
312	Paulinho	Vasco	Atacante	5.0
313	Luiz Felipe	Santos	Zagueiro	5.0
314	Arouca	Palmeiras	Meia	4.950000000000444
315	Daniel	Coritiba	Meia	4.90000000000031
316	Léo	Coritiba	Lateral	4.849999999999702
317	Canteros	Chapecoense	Meia	4.830000000000516
318	Elton	Ponte Preta	Meia	4.790000000000563
319	Aderllan Santos	São Paulo	Zagueiro	4.77999999999983
320	Léo	Grêmio	Goleiro	4.770000000000358
321	Adilson	Atlético-MG	Meia	4.770000000000358
322	Digão	Cruzeiro	Zagueiro	4.770000000000358
323	Bruno Alves	São Paulo	Zagueiro	4.759999999999632
324	Osvaldo	Sport	Atacante	4.75
325	Roger Bernardo	Atlético-MG	Meia	4.729999999999642
326	Reginaldo	Fluminense	Zagueiro	4.729999999999642
327	Bruno Rodrigo	Grêmio	Zagueiro	4.720000000000157
328	Baumjohann	Coritiba	Meia	4.709999999999443
329	Bruno Paulista	Vasco	Meia	4.709999999999443
330	Thiago Ribeiro	Santos	Atacante	4.700000000000429
331	Diego Renan	Chapecoense	Lateral	4.689999999999722
332	Igor	Sport	Zagueiro	4.6699999999995265
333	Juan	Avaí	Meia	4.630000000000048
334	Matheus Fernandes	Botafogo	Meia	4.619999999999954
335	Madson	Vasco	Lateral	4.599999999999764
336	Guilherme Costa	Vasco	Meia	4.590000000000129
337	Agenor	Sport	Goleiro	4.569999999999775
338	Matheus Reis	Bahia	Lateral	4.540000000000545
339	Lucas Silva	Cruzeiro	Meia	4.540000000000545
340	Giovanni	Atlético-MG	Goleiro	4.470000000000101
341	Carlos Cesar	Atlético-MG	Lateral	4.45999999999946
342	Berrío 	Flamengo	Atacante	4.450000000000412
343	Amaral	Chapecoense	Meia	4.439999999999779
344	Walisson Maia	Coritiba	Zagueiro	4.439999999999779
345	Manga Escobar	Vasco	Atacante	4.430000000000224
346	Mascarenhas	Fluminense	Lateral	4.430000000000224
347	Ramon	Vitória	Zagueiro	4.419999999999598
348	Everton Felipe	Sport	Meia	4.409999999999872
349	Diego Cavalieri	Fluminense	Goleiro	4.400000000000181
350	Daniel Guedes 	Santos	Lateral	4.389999999999689
351	Wendel	Ponte Preta	Meia	4.379999999999993
352	Thomaz	São Paulo	Meia	4.319999999999778
353	Fabiano	Palmeiras	Lateral	4.319999999999778
354	Renato	Fluminense	Lateral	4.319999999999778
355	Maurinho	Avaí	Atacante	4.319999999999778
356	Wanderson	Atlético-PR	Zagueiro	4.319999999999778
357	Cícero	Grêmio	Meia	4.279999999999946
358	Bruno	São Paulo	Lateral	4.279999999999946
359	Caíque	Vitória	Goleiro	4.279999999999946
360	Fred	Vitória	Zagueiro	4.259999999999777
361	Dodô	Chapecoense	Meia	4.259999999999777
362	Yago	Ponte Preta	Zagueiro	4.25
363	Ederson	Flamengo	Meia	4.25
364	Andrés Ríos	Vasco	Atacante	4.25
365	Leonardo Valencia	Botafogo	Meia	4.240000000000217
366	Thiago	Flamengo	Goleiro	4.240000000000217
367	Douglas Coutinho 	Atlético-PR	Atacante	4.220000000000039
368	Marcinho	São Paulo	Atacante	4.169999999999678
369	Kayke	Santos	Atacante	4.150000000000103
370	Igor	Atlético-GO	Meia	4.150000000000103
371	Thiago Martins	Bahia	Zagueiro	4.139999999999705
372	Gustavo	Avaí	Zagueiro	4.139999999999705
373	Roberto	Chapecoense	Lateral	4.120000000000072
374	Fabián Noguera	Santos	Zagueiro	4.0800000000002905
375	Danilinho	Vitória	Atacante	4.069999999999783
