pontuacao	frequencia	media
-3	0.0002	10.132799999999952
-2	0.0008	10.132799999999952
-1	0.002	10.132799999999952
0	0.0064	10.132799999999952
1	0.0154	10.132799999999952
2	0.0246	10.132799999999952
3	0.0394	10.132799999999952
4	0.0522	10.132799999999952
5	0.0648	10.132799999999952
6	0.0646	10.132799999999952
7	0.0742	10.132799999999952
8	0.073	10.132799999999952
9	0.073	10.132799999999952
10	0.0662	10.132799999999952
11	0.0578	10.132799999999952
12	0.061	10.132799999999952
13	0.0492	10.132799999999952
14	0.0432	10.132799999999952
15	0.039	10.132799999999952
16	0.035	10.132799999999952
17	0.0278	10.132799999999952
18	0.0254	10.132799999999952
19	0.0206	10.132799999999952
20	0.0172	10.132799999999952
21	0.0128	10.132799999999952
22	0.0114	10.132799999999952
23	0.0116	10.132799999999952
24	0.0068	10.132799999999952
25	0.0062	10.132799999999952
26	0.0042	10.132799999999952
27	0.004	10.132799999999952
28	0.002	10.132799999999952
29	0.0008	10.132799999999952
30	0.0018	10.132799999999952
31	0.0016	10.132799999999952
32	0.0012	10.132799999999952
33	0.0008	10.132799999999952
34	0.0004	10.132799999999952
35	0.0004	10.132799999999952
36	0.0002	10.132799999999952
37	0.0006	10.132799999999952
