pontuacao	frequencia	media
-7	0.0002	1.3013200000000014
-6	0.0	1.3013200000000014
-5	0.0006	1.3013200000000014
-4	0.0038	1.3013200000000014
-3	0.0146	1.3013200000000014
-2	0.0448	1.3013200000000014
-1	0.1348	1.3013200000000014
0	0.1842	1.3013200000000014
1	0.1614	1.3013200000000014
2	0.1322	1.3013200000000014
3	0.0926	1.3013200000000014
4	0.073	1.3013200000000014
5	0.0582	1.3013200000000014
6	0.0352	1.3013200000000014
7	0.0224	1.3013200000000014
8	0.0164	1.3013200000000014
9	0.009	1.3013200000000014
10	0.0074	1.3013200000000014
11	0.0038	1.3013200000000014
12	0.003	1.3013200000000014
13	0.0014	1.3013200000000014
14	0.0006	1.3013200000000014
15	0.0002	1.3013200000000014
16	0.0	1.3013200000000014
17	0.0	1.3013200000000014
