pontuacao	frequencia	media
-8	0.0002	3.9675200000000057
-7	0.0	3.9675200000000057
-6	0.0008	3.9675200000000057
-5	0.0026	3.9675200000000057
-4	0.0062	3.9675200000000057
-3	0.013	3.9675200000000057
-2	0.0242	3.9675200000000057
-1	0.0466	3.9675200000000057
0	0.0642	3.9675200000000057
1	0.096	3.9675200000000057
2	0.1078	3.9675200000000057
3	0.1108	3.9675200000000057
4	0.1016	3.9675200000000057
5	0.0892	3.9675200000000057
6	0.0708	3.9675200000000057
7	0.0576	3.9675200000000057
8	0.0496	3.9675200000000057
9	0.0366	3.9675200000000057
10	0.0308	3.9675200000000057
11	0.0236	3.9675200000000057
12	0.0188	3.9675200000000057
13	0.0158	3.9675200000000057
14	0.008	3.9675200000000057
15	0.0074	3.9675200000000057
16	0.0064	3.9675200000000057
17	0.0028	3.9675200000000057
18	0.0022	3.9675200000000057
19	0.0024	3.9675200000000057
20	0.0012	3.9675200000000057
21	0.0008	3.9675200000000057
22	0.0006	3.9675200000000057
23	0.0004	3.9675200000000057
24	0.0004	3.9675200000000057
25	0.0	3.9675200000000057
26	0.0002	3.9675200000000057
27	0.0002	3.9675200000000057
