Jogador,Posicao,Time,Arquivo
Rodrigo Becão,Zagueiro,Bahia,./Graficos/Rodrigo Becão_Bahia_Zagueiro.html
João Paulo,Meia,Botafogo,./Graficos/João Paulo_Botafogo_Meia.html
Léo Artur,Meia,Ponte Preta,./Graficos/Léo Artur_Ponte Preta_Meia.html
Paulo Roberto,Meia,Corinthians,./Graficos/Paulo Roberto_Corinthians_Meia.html
Samuel Xavier,Lateral,Sport,./Graficos/Samuel Xavier_Sport_Lateral.html
Eduardo Gabriel,Zagueiro,Atlético-GO,./Graficos/Eduardo Gabriel_Atlético-GO_Zagueiro.html
Joel,Atacante,Avaí,./Graficos/Joel_Avaí_Atacante.html
Bruno Cosendey,Meia,Vasco,./Graficos/Bruno Cosendey_Vasco_Meia.html
Luan Peres ,Zagueiro,Ponte Preta,./Graficos/Luan Peres _Ponte Preta_Zagueiro.html
René,Zagueiro,Vitória,./Graficos/René_Vitória_Zagueiro.html
Lucas,Lateral,Fluminense,./Graficos/Lucas_Fluminense_Lateral.html
Armero,Lateral,Bahia,./Graficos/Armero_Bahia_Lateral.html
Douglas Coutinho ,Atacante,Atlético-PR,./Graficos/Douglas Coutinho _Atlético-PR_Atacante.html
Jonathan,Lateral,Atlético-GO,./Graficos/Jonathan_Atlético-GO_Lateral.html
Nogueira,Zagueiro,Fluminense,./Graficos/Nogueira_Fluminense_Zagueiro.html
Silva,Meia,Atlético-GO,./Graficos/Silva_Atlético-GO_Meia.html
Luiz Fernando ,Meia,Fluminense,./Graficos/Luiz Fernando _Fluminense_Meia.html
Arthur Gomes,Atacante,Santos,./Graficos/Arthur Gomes_Santos_Atacante.html
Walterson,Atacante,Atlético-GO,./Graficos/Walterson_Atlético-GO_Atacante.html
Fábio Santos,Lateral,Atlético-MG,./Graficos/Fábio Santos_Atlético-MG_Lateral.html
Mendoza,Atacante,Bahia,./Graficos/Mendoza_Bahia_Atacante.html
Fábio Braga,Meia,Ponte Preta,./Graficos/Fábio Braga_Ponte Preta_Meia.html
Iury,Atacante,Avaí,./Graficos/Iury_Avaí_Atacante.html
Matheus Iacovelli,Atacante,Palmeiras,./Graficos/Matheus Iacovelli_Palmeiras_Atacante.html
Wellington Simião,Meia,Avaí,./Graficos/Wellington Simião_Avaí_Meia.html
Pedro Castro,Meia,Avaí,./Graficos/Pedro Castro_Avaí_Meia.html
Fabrício,Meia,Sport,./Graficos/Fabrício_Sport_Meia.html
Todinho,Atacante,Vitória,./Graficos/Todinho_Vitória_Atacante.html
Matheus Alessandro,Atacante,Fluminense,./Graficos/Matheus Alessandro_Fluminense_Atacante.html
Airton ,Zagueiro,Avaí,./Graficos/Airton _Avaí_Zagueiro.html
Capixaba,Atacante,Atlético-MG,./Graficos/Capixaba_Atlético-MG_Atacante.html
Mateus Norton,Meia,Fluminense,./Graficos/Mateus Norton_Fluminense_Meia.html
Lourenço,Atacante,Avaí,./Graficos/Lourenço_Avaí_Atacante.html
Murilo,Zagueiro,Cruzeiro,./Graficos/Murilo_Cruzeiro_Zagueiro.html
Pedrinho,Atacante,Corinthians,./Graficos/Pedrinho_Corinthians_Atacante.html
Evandro,Lateral,Sport,./Graficos/Evandro_Sport_Lateral.html
Nadson,Meia,Chapecoense,./Graficos/Nadson_Chapecoense_Meia.html
Raniel,Atacante,Cruzeiro,./Graficos/Raniel_Cruzeiro_Atacante.html
