pontuacao	frequencia	media
-8	0.0004	3.0529999999999915
-7	0.0002	3.0529999999999915
-6	0.0014	3.0529999999999915
-5	0.0034	3.0529999999999915
-4	0.0076	3.0529999999999915
-3	0.0144	3.0529999999999915
-2	0.0346	3.0529999999999915
-1	0.051	3.0529999999999915
0	0.0892	3.0529999999999915
1	0.1052	3.0529999999999915
2	0.1224	3.0529999999999915
3	0.1148	3.0529999999999915
4	0.0978	3.0529999999999915
5	0.0908	3.0529999999999915
6	0.077	3.0529999999999915
7	0.0544	3.0529999999999915
8	0.0432	3.0529999999999915
9	0.031	3.0529999999999915
10	0.0216	3.0529999999999915
11	0.0156	3.0529999999999915
12	0.0064	3.0529999999999915
13	0.0066	3.0529999999999915
14	0.004	3.0529999999999915
15	0.0028	3.0529999999999915
16	0.0014	3.0529999999999915
17	0.0006	3.0529999999999915
18	0.001	3.0529999999999915
19	0.0006	3.0529999999999915
20	0.0004	3.0529999999999915
21	0.0	3.0529999999999915
