pontuacao	frequencia	media
-8	0.0002	4.802940000000005
-7	0.0014	4.802940000000005
-6	0.0014	4.802940000000005
-5	0.004	4.802940000000005
-4	0.0084	4.802940000000005
-3	0.0166	4.802940000000005
-2	0.0332	4.802940000000005
-1	0.0538	4.802940000000005
0	0.0602	4.802940000000005
1	0.0714	4.802940000000005
2	0.0708	4.802940000000005
3	0.0802	4.802940000000005
4	0.0826	4.802940000000005
5	0.0836	4.802940000000005
6	0.0676	4.802940000000005
7	0.0678	4.802940000000005
8	0.0578	4.802940000000005
9	0.0484	4.802940000000005
10	0.0428	4.802940000000005
11	0.0328	4.802940000000005
12	0.024	4.802940000000005
13	0.019	4.802940000000005
14	0.0202	4.802940000000005
15	0.015	4.802940000000005
16	0.0096	4.802940000000005
17	0.0072	4.802940000000005
18	0.004	4.802940000000005
19	0.0042	4.802940000000005
20	0.0034	4.802940000000005
21	0.0016	4.802940000000005
22	0.002	4.802940000000005
23	0.0018	4.802940000000005
24	0.001	4.802940000000005
25	0.0002	4.802940000000005
26	0.0008	4.802940000000005
27	0.0004	4.802940000000005
28	0.0002	4.802940000000005
