pontuacao	frequencia	media
-9	0.0002	3.662999999999996
-8	0.001	3.662999999999996
-7	0.001	3.662999999999996
-6	0.002	3.662999999999996
-5	0.0058	3.662999999999996
-4	0.0124	3.662999999999996
-3	0.0176	3.662999999999996
-2	0.036	3.662999999999996
-1	0.0564	3.662999999999996
0	0.0906	3.662999999999996
1	0.1032	3.662999999999996
2	0.113	3.662999999999996
3	0.096	3.662999999999996
4	0.0852	3.662999999999996
5	0.0628	3.662999999999996
6	0.052	3.662999999999996
7	0.0468	3.662999999999996
8	0.0438	3.662999999999996
9	0.0336	3.662999999999996
10	0.0298	3.662999999999996
11	0.0278	3.662999999999996
12	0.0214	3.662999999999996
13	0.015	3.662999999999996
14	0.01	3.662999999999996
15	0.0078	3.662999999999996
16	0.007	3.662999999999996
17	0.0056	3.662999999999996
18	0.0056	3.662999999999996
19	0.0034	3.662999999999996
20	0.0026	3.662999999999996
21	0.0012	3.662999999999996
22	0.0006	3.662999999999996
23	0.0008	3.662999999999996
24	0.0004	3.662999999999996
25	0.0004	3.662999999999996
26	0.0002	3.662999999999996
27	0.0004	3.662999999999996
28	0.0004	3.662999999999996
29	0.0	3.662999999999996
