pontuacao	frequencia	media
-8	0.0002	0.20644000000000073
-7	0.0004	0.20644000000000073
-6	0.0008	0.20644000000000073
-5	0.0026	0.20644000000000073
-4	0.009	0.20644000000000073
-3	0.0306	0.20644000000000073
-2	0.0622	0.20644000000000073
-1	0.136	0.20644000000000073
0	0.2286	0.20644000000000073
1	0.2206	0.20644000000000073
2	0.1606	0.20644000000000073
3	0.0872	0.20644000000000073
4	0.039	0.20644000000000073
5	0.0158	0.20644000000000073
6	0.0046	0.20644000000000073
7	0.001	0.20644000000000073
8	0.0006	0.20644000000000073
