pontuacao	frequencia	media
-14	0.0002	1.9764000000000028
-13	0.0002	1.9764000000000028
-12	0.0008	1.9764000000000028
-11	0.0004	1.9764000000000028
-10	0.0006	1.9764000000000028
-9	0.0008	1.9764000000000028
-8	0.003	1.9764000000000028
-7	0.0052	1.9764000000000028
-6	0.0086	1.9764000000000028
-5	0.0118	1.9764000000000028
-4	0.0158	1.9764000000000028
-3	0.024	1.9764000000000028
-2	0.0416	1.9764000000000028
-1	0.0696	1.9764000000000028
0	0.1232	1.9764000000000028
1	0.1312	1.9764000000000028
2	0.1232	1.9764000000000028
3	0.0994	1.9764000000000028
4	0.0758	1.9764000000000028
5	0.065	1.9764000000000028
6	0.056	1.9764000000000028
7	0.0448	1.9764000000000028
8	0.0318	1.9764000000000028
9	0.021	1.9764000000000028
10	0.0156	1.9764000000000028
11	0.0122	1.9764000000000028
12	0.0082	1.9764000000000028
13	0.0026	1.9764000000000028
14	0.0036	1.9764000000000028
15	0.0008	1.9764000000000028
16	0.0012	1.9764000000000028
17	0.0008	1.9764000000000028
18	0.0004	1.9764000000000028
19	0.0	1.9764000000000028
20	0.0004	1.9764000000000028
21	0.0	1.9764000000000028
