pontuacao	frequencia	media
-3	0.0086	3.67503999999999
-2	0.0312	3.67503999999999
-1	0.067	3.67503999999999
0	0.1016	3.67503999999999
1	0.1324	3.67503999999999
2	0.1264	3.67503999999999
3	0.11	3.67503999999999
4	0.0806	3.67503999999999
5	0.051	3.67503999999999
6	0.0366	3.67503999999999
7	0.0334	3.67503999999999
8	0.0382	3.67503999999999
9	0.0364	3.67503999999999
10	0.0342	3.67503999999999
11	0.0286	3.67503999999999
12	0.0184	3.67503999999999
13	0.0172	3.67503999999999
14	0.0108	3.67503999999999
15	0.0076	3.67503999999999
16	0.007	3.67503999999999
17	0.0046	3.67503999999999
18	0.0048	3.67503999999999
19	0.0048	3.67503999999999
20	0.0024	3.67503999999999
21	0.002	3.67503999999999
22	0.0004	3.67503999999999
23	0.0004	3.67503999999999
24	0.0008	3.67503999999999
25	0.0004	3.67503999999999
26	0.0004	3.67503999999999
27	0.0004	3.67503999999999
28	0.0002	3.67503999999999
29	0.0	3.67503999999999
