pontuacao	frequencia	media
-14	0.0004	-0.39895999999999926
-13	0.001	-0.39895999999999926
-12	0.0008	-0.39895999999999926
-11	0.0018	-0.39895999999999926
-10	0.0034	-0.39895999999999926
-9	0.0042	-0.39895999999999926
-8	0.0054	-0.39895999999999926
-7	0.0114	-0.39895999999999926
-6	0.0226	-0.39895999999999926
-5	0.0328	-0.39895999999999926
-4	0.0408	-0.39895999999999926
-3	0.0604	-0.39895999999999926
-2	0.093	-0.39895999999999926
-1	0.1408	-0.39895999999999926
0	0.1606	-0.39895999999999926
1	0.127	-0.39895999999999926
2	0.0908	-0.39895999999999926
3	0.0632	-0.39895999999999926
4	0.0528	-0.39895999999999926
5	0.0312	-0.39895999999999926
6	0.0194	-0.39895999999999926
7	0.0144	-0.39895999999999926
8	0.0102	-0.39895999999999926
9	0.0064	-0.39895999999999926
10	0.0022	-0.39895999999999926
11	0.0012	-0.39895999999999926
12	0.0008	-0.39895999999999926
13	0.0006	-0.39895999999999926
14	0.0002	-0.39895999999999926
