pontuacao	frequencia	media
-7	0.0002	1.9549599999999947
-6	0.0	1.9549599999999947
-5	0.0002	1.9549599999999947
-4	0.0028	1.9549599999999947
-3	0.006	1.9549599999999947
-2	0.027	1.9549599999999947
-1	0.0556	1.9549599999999947
0	0.1476	1.9549599999999947
1	0.1218	1.9549599999999947
2	0.1982	1.9549599999999947
3	0.1294	1.9549599999999947
4	0.1248	1.9549599999999947
5	0.077	1.9549599999999947
6	0.0486	1.9549599999999947
7	0.0336	1.9549599999999947
8	0.0122	1.9549599999999947
9	0.0088	1.9549599999999947
10	0.004	1.9549599999999947
11	0.0016	1.9549599999999947
12	0.0004	1.9549599999999947
13	0.0	1.9549599999999947
