pontuacao	frequencia	media
-8	0.0002	0.558679999999999
-7	0.0012	0.558679999999999
-6	0.0026	0.558679999999999
-5	0.0072	0.558679999999999
-4	0.0232	0.558679999999999
-3	0.0366	0.558679999999999
-2	0.0788	0.558679999999999
-1	0.1054	0.558679999999999
0	0.1976	0.558679999999999
1	0.1794	0.558679999999999
2	0.1222	0.558679999999999
3	0.081	0.558679999999999
4	0.0664	0.558679999999999
5	0.0454	0.558679999999999
6	0.024	0.558679999999999
7	0.0124	0.558679999999999
8	0.0082	0.558679999999999
9	0.0032	0.558679999999999
10	0.0028	0.558679999999999
11	0.0012	0.558679999999999
