pontuacao	frequencia	media
-7	0.0002	2.880620000000001
-6	0.001	2.880620000000001
-5	0.0038	2.880620000000001
-4	0.0098	2.880620000000001
-3	0.0236	2.880620000000001
-2	0.0412	2.880620000000001
-1	0.0858	2.880620000000001
0	0.1398	2.880620000000001
1	0.1176	2.880620000000001
2	0.1096	2.880620000000001
3	0.0826	2.880620000000001
4	0.0644	2.880620000000001
5	0.0584	2.880620000000001
6	0.0502	2.880620000000001
7	0.0394	2.880620000000001
8	0.0404	2.880620000000001
9	0.0304	2.880620000000001
10	0.022	2.880620000000001
11	0.0184	2.880620000000001
12	0.018	2.880620000000001
13	0.0096	2.880620000000001
14	0.009	2.880620000000001
15	0.0068	2.880620000000001
16	0.0036	2.880620000000001
17	0.0044	2.880620000000001
18	0.0022	2.880620000000001
19	0.002	2.880620000000001
20	0.0018	2.880620000000001
21	0.0012	2.880620000000001
22	0.0006	2.880620000000001
23	0.0002	2.880620000000001
24	0.0008	2.880620000000001
25	0.0002	2.880620000000001
26	0.0	2.880620000000001
27	0.0004	2.880620000000001
28	0.0	2.880620000000001
29	0.0002	2.880620000000001
30	0.0002	2.880620000000001
31	0.0	2.880620000000001
32	0.0	2.880620000000001
