pontuacao	frequencia	media
-7	0.0002	3.953759999999994
-6	0.0008	3.953759999999994
-5	0.001	3.953759999999994
-4	0.0046	3.953759999999994
-3	0.0154	3.953759999999994
-2	0.033	3.953759999999994
-1	0.0734	3.953759999999994
0	0.118	3.953759999999994
1	0.1248	3.953759999999994
2	0.1002	3.953759999999994
3	0.0696	3.953759999999994
4	0.0582	3.953759999999994
5	0.0496	3.953759999999994
6	0.0468	3.953759999999994
7	0.054	3.953759999999994
8	0.0468	3.953759999999994
9	0.044	3.953759999999994
10	0.0354	3.953759999999994
11	0.0262	3.953759999999994
12	0.0168	3.953759999999994
13	0.0178	3.953759999999994
14	0.0118	3.953759999999994
15	0.0092	3.953759999999994
16	0.009	3.953759999999994
17	0.0086	3.953759999999994
18	0.0048	3.953759999999994
19	0.0052	3.953759999999994
20	0.0036	3.953759999999994
21	0.0026	3.953759999999994
22	0.0016	3.953759999999994
23	0.0022	3.953759999999994
24	0.0016	3.953759999999994
25	0.0006	3.953759999999994
26	0.0008	3.953759999999994
27	0.0004	3.953759999999994
28	0.0006	3.953759999999994
29	0.0002	3.953759999999994
30	0.0	3.953759999999994
31	0.0004	3.953759999999994
32	0.0	3.953759999999994
