pontuacao	frequencia	media
-4	0.0002	3.0896200000000054
-3	0.0002	3.0896200000000054
-2	0.0014	3.0896200000000054
-1	0.0248	3.0896200000000054
0	0.076	3.0896200000000054
1	0.1096	3.0896200000000054
2	0.1632	3.0896200000000054
3	0.1542	3.0896200000000054
4	0.146	3.0896200000000054
5	0.1154	3.0896200000000054
6	0.084	3.0896200000000054
7	0.0566	3.0896200000000054
8	0.0294	3.0896200000000054
9	0.0202	3.0896200000000054
10	0.0094	3.0896200000000054
11	0.0062	3.0896200000000054
12	0.0016	3.0896200000000054
13	0.0014	3.0896200000000054
