pontuacao	frequencia	media
-16	0.0002	-2.852439999999953
-15	0.0	-2.852439999999953
-14	0.0	-2.852439999999953
-13	0.0002	-2.852439999999953
-12	0.0002	-2.852439999999953
-11	0.0012	-2.852439999999953
-10	0.0034	-2.852439999999953
-9	0.008	-2.852439999999953
-8	0.0118	-2.852439999999953
-7	0.0248	-2.852439999999953
-6	0.0424	-2.852439999999953
-5	0.0816	-2.852439999999953
-4	0.1128	-2.852439999999953
-3	0.1534	-2.852439999999953
-2	0.1844	-2.852439999999953
-1	0.167	-2.852439999999953
0	0.1568	-2.852439999999953
1	0.0472	-2.852439999999953
2	0.0044	-2.852439999999953
