pontuacao	frequencia	media
-6	0.0012	0.40377999999999936
-5	0.0046	0.40377999999999936
-4	0.0176	0.40377999999999936
-3	0.05	0.40377999999999936
-2	0.0938	0.40377999999999936
-1	0.1468	0.40377999999999936
0	0.1598	0.40377999999999936
1	0.1458	0.40377999999999936
2	0.1354	0.40377999999999936
3	0.101	0.40377999999999936
4	0.0654	0.40377999999999936
5	0.0396	0.40377999999999936
6	0.0186	0.40377999999999936
7	0.0104	0.40377999999999936
8	0.006	0.40377999999999936
9	0.0026	0.40377999999999936
10	0.0008	0.40377999999999936
11	0.0004	0.40377999999999936
