pontuacao	frequencia	media
-4	0.0002	1.8144799999999974
-3	0.009	1.8144799999999974
-2	0.0358	1.8144799999999974
-1	0.09	1.8144799999999974
0	0.124	1.8144799999999974
1	0.1566	1.8144799999999974
2	0.1594	1.8144799999999974
3	0.1388	1.8144799999999974
4	0.107	1.8144799999999974
5	0.0752	1.8144799999999974
6	0.0456	1.8144799999999974
7	0.0234	1.8144799999999974
8	0.0174	1.8144799999999974
9	0.0084	1.8144799999999974
10	0.0042	1.8144799999999974
11	0.002	1.8144799999999974
12	0.0014	1.8144799999999974
13	0.0008	1.8144799999999974
14	0.0006	1.8144799999999974
15	0.0	1.8144799999999974
16	0.0	1.8144799999999974
