pontuacao	frequencia	media
-4	0.002	1.3859799999999998
-3	0.0098	1.3859799999999998
-2	0.0524	1.3859799999999998
-1	0.12	1.3859799999999998
0	0.1816	1.3859799999999998
1	0.18	1.3859799999999998
2	0.1416	1.3859799999999998
3	0.0892	1.3859799999999998
4	0.0572	1.3859799999999998
5	0.0488	1.3859799999999998
6	0.0402	1.3859799999999998
7	0.0312	1.3859799999999998
8	0.0154	1.3859799999999998
9	0.0088	1.3859799999999998
10	0.0062	1.3859799999999998
11	0.0066	1.3859799999999998
12	0.0034	1.3859799999999998
13	0.0028	1.3859799999999998
14	0.001	1.3859799999999998
15	0.0002	1.3859799999999998
16	0.0004	1.3859799999999998
17	0.0008	1.3859799999999998
18	0.0	1.3859799999999998
