pontuacao	frequencia	media
-8	0.0002	1.1979600000000088
-7	0.0016	1.1979600000000088
-6	0.0036	1.1979600000000088
-5	0.0128	1.1979600000000088
-4	0.0242	1.1979600000000088
-3	0.0512	1.1979600000000088
-2	0.0852	1.1979600000000088
-1	0.1148	1.1979600000000088
0	0.141	1.1979600000000088
1	0.114	1.1979600000000088
2	0.1066	1.1979600000000088
3	0.0734	1.1979600000000088
4	0.067	1.1979600000000088
5	0.0598	1.1979600000000088
6	0.0456	1.1979600000000088
7	0.0292	1.1979600000000088
8	0.0212	1.1979600000000088
9	0.0148	1.1979600000000088
10	0.012	1.1979600000000088
11	0.0082	1.1979600000000088
12	0.004	1.1979600000000088
13	0.0032	1.1979600000000088
14	0.0032	1.1979600000000088
15	0.0012	1.1979600000000088
16	0.001	1.1979600000000088
17	0.0006	1.1979600000000088
18	0.0002	1.1979600000000088
19	0.0	1.1979600000000088
20	0.0	1.1979600000000088
21	0.0	1.1979600000000088
