pontuacao	frequencia	media
-7	0.0012	4.037740000000009
-6	0.002	4.037740000000009
-5	0.0042	4.037740000000009
-4	0.0114	4.037740000000009
-3	0.0264	4.037740000000009
-2	0.0466	4.037740000000009
-1	0.0608	4.037740000000009
0	0.084	4.037740000000009
1	0.097	4.037740000000009
2	0.0946	4.037740000000009
3	0.0812	4.037740000000009
4	0.0762	4.037740000000009
5	0.0586	4.037740000000009
6	0.0512	4.037740000000009
7	0.0518	4.037740000000009
8	0.047	4.037740000000009
9	0.039	4.037740000000009
10	0.0386	4.037740000000009
11	0.0234	4.037740000000009
12	0.0206	4.037740000000009
13	0.0168	4.037740000000009
14	0.015	4.037740000000009
15	0.0116	4.037740000000009
16	0.0092	4.037740000000009
17	0.0068	4.037740000000009
18	0.0064	4.037740000000009
19	0.0038	4.037740000000009
20	0.003	4.037740000000009
21	0.0038	4.037740000000009
22	0.0012	4.037740000000009
23	0.001	4.037740000000009
24	0.0014	4.037740000000009
25	0.0014	4.037740000000009
26	0.0006	4.037740000000009
27	0.0002	4.037740000000009
28	0.0002	4.037740000000009
29	0.0002	4.037740000000009
30	0.0008	4.037740000000009
31	0.0002	4.037740000000009
32	0.0	4.037740000000009
33	0.0	4.037740000000009
34	0.0	4.037740000000009
35	0.0004	4.037740000000009
36	0.0	4.037740000000009
37	0.0	4.037740000000009
