pontuacao	frequencia	media
-14	0.0002	3.006760000000043
-13	0.0002	3.006760000000043
-12	0.0006	3.006760000000043
-11	0.0014	3.006760000000043
-10	0.003	3.006760000000043
-9	0.0014	3.006760000000043
-8	0.0084	3.006760000000043
-7	0.0066	3.006760000000043
-6	0.0176	3.006760000000043
-5	0.0182	3.006760000000043
-4	0.0352	3.006760000000043
-3	0.041	3.006760000000043
-2	0.0504	3.006760000000043
-1	0.066	3.006760000000043
0	0.059	3.006760000000043
1	0.0914	3.006760000000043
2	0.0754	3.006760000000043
3	0.0746	3.006760000000043
4	0.0892	3.006760000000043
5	0.0512	3.006760000000043
6	0.0664	3.006760000000043
7	0.06	3.006760000000043
8	0.0298	3.006760000000043
9	0.0418	3.006760000000043
10	0.0382	3.006760000000043
11	0.0112	3.006760000000043
12	0.0224	3.006760000000043
13	0.0144	3.006760000000043
14	0.0044	3.006760000000043
15	0.0078	3.006760000000043
16	0.0048	3.006760000000043
17	0.0016	3.006760000000043
18	0.0032	3.006760000000043
19	0.001	3.006760000000043
20	0.0002	3.006760000000043
21	0.0012	3.006760000000043
22	0.0002	3.006760000000043
23	0.0	3.006760000000043
24	0.0	3.006760000000043
25	0.0002	3.006760000000043
26	0.0	3.006760000000043
27	0.0	3.006760000000043
28	0.0	3.006760000000043
29	0.0	3.006760000000043
30	0.0	3.006760000000043
