pontuacao	frequencia	media
-2	0.0002	10.746019999999987
-1	0.0036	10.746019999999987
0	0.0054	10.746019999999987
1	0.0162	10.746019999999987
2	0.0252	10.746019999999987
3	0.0354	10.746019999999987
4	0.0492	10.746019999999987
5	0.0538	10.746019999999987
6	0.0594	10.746019999999987
7	0.0674	10.746019999999987
8	0.0652	10.746019999999987
9	0.0714	10.746019999999987
10	0.0624	10.746019999999987
11	0.0578	10.746019999999987
12	0.055	10.746019999999987
13	0.0536	10.746019999999987
14	0.0474	10.746019999999987
15	0.0468	10.746019999999987
16	0.04	10.746019999999987
17	0.0316	10.746019999999987
18	0.0242	10.746019999999987
19	0.024	10.746019999999987
20	0.017	10.746019999999987
21	0.0184	10.746019999999987
22	0.013	10.746019999999987
23	0.0114	10.746019999999987
24	0.0074	10.746019999999987
25	0.007	10.746019999999987
26	0.0056	10.746019999999987
27	0.007	10.746019999999987
28	0.003	10.746019999999987
29	0.0044	10.746019999999987
30	0.0036	10.746019999999987
31	0.0022	10.746019999999987
32	0.001	10.746019999999987
33	0.001	10.746019999999987
34	0.001	10.746019999999987
35	0.0004	10.746019999999987
36	0.0004	10.746019999999987
37	0.0004	10.746019999999987
38	0.0002	10.746019999999987
39	0.0	10.746019999999987
40	0.0	10.746019999999987
41	0.0002	10.746019999999987
42	0.0	10.746019999999987
43	0.0	10.746019999999987
