index	Jogador	Time	Posicao	preco_cartoleta
0	Vanderlei	Santos	Goleiro	21.720000000000944
1	Henrique Dourado	Fluminense	Atacante	21.539999999997953
2	Zé Rafael 	Bahia	Meia	21.39999999999837
3	Luan	Grêmio	Atacante	20.86999999999899
4	Lucca	Ponte Preta	Atacante	20.389999999999475
5	Nino Paraíba	Ponte Preta	Lateral	19.41999999999856
6	Gatito Fernández	Botafogo	Goleiro	19.279999999999085
7	Diego	Flamengo	Meia	18.529999999999095
8	Hernanes	São Paulo	Meia	17.61999999999966
9	Clayson	Corinthians	Atacante	17.61000000000051
10	Thiago Neves	Cruzeiro	Meia	17.36999999999972
11	Diego Souza	Sport	Meia	17.1699999999986
12	Dudu	Palmeiras	Atacante	16.78999999999919
13	Fernando Prass	Palmeiras	Goleiro	15.769999999999515
14	Ramiro	Grêmio	Meia	15.769999999999515
15	Rodriguinho	Corinthians	Meia	15.629999999999793
16	Henrique Almeida	Coritiba	Atacante	15.259999999999831
17	Yerry Mina	Palmeiras	Zagueiro	14.960000000000129
18	Bruno Henrique	Santos	Atacante	14.800000000001393
19	Borja	Palmeiras	Atacante	14.730000000000807
20	Lucas Pratto	São Paulo	Atacante	14.72000000000084
21	Régis	Bahia	Meia	14.669999999998659
22	Jean	Palmeiras	Lateral	14.48000000000089
23	Everton	Flamengo	Meia	14.449999999998644
24	Jô	Corinthians	Atacante	14.139999999999503
25	Cássio	Corinthians	Goleiro	14.120000000000728
26	Fred	Atlético-MG	Atacante	13.870000000000823
27	Diogo Barbosa	Cruzeiro	Lateral	13.860000000000495
28	Reinaldo	Chapecoense	Lateral	13.489999999999503
29	Wilson	Coritiba	Goleiro	13.489999999999503
30	Nenê	Vasco	Meia	13.449999999998758
31	Pedro Geromel	Grêmio	Zagueiro	13.41000000000172
32	Jucilei	São Paulo	Meia	13.41000000000172
33	Réver	Flamengo	Zagueiro	13.360000000000491
34	Alisson	Cruzeiro	Meia	13.360000000000491
35	Sidcley	Atlético-PR	Lateral	13.279999999999195
36	Edson	Bahia	Meia	13.160000000001686
37	Wendel	Fluminense	Meia	13.050000000001193
