pontuacao	frequencia	media
-7	0.0002	1.257719999999993
-6	0.0002	1.257719999999993
-5	0.0026	1.257719999999993
-4	0.0086	1.257719999999993
-3	0.0206	1.257719999999993
-2	0.0502	1.257719999999993
-1	0.0942	1.257719999999993
0	0.1626	1.257719999999993
1	0.1896	1.257719999999993
2	0.151	1.257719999999993
3	0.111	1.257719999999993
4	0.0696	1.257719999999993
5	0.049	1.257719999999993
6	0.0352	1.257719999999993
7	0.022	1.257719999999993
8	0.013	1.257719999999993
9	0.0074	1.257719999999993
10	0.0056	1.257719999999993
11	0.0044	1.257719999999993
12	0.0014	1.257719999999993
13	0.0008	1.257719999999993
14	0.0004	1.257719999999993
15	0.0	1.257719999999993
