pontuacao	frequencia	media
-8	0.0002	2.172180000000002
-7	0.0002	2.172180000000002
-6	0.0016	2.172180000000002
-5	0.0044	2.172180000000002
-4	0.0122	2.172180000000002
-3	0.0212	2.172180000000002
-2	0.038	2.172180000000002
-1	0.0714	2.172180000000002
0	0.0916	2.172180000000002
1	0.1254	2.172180000000002
2	0.1336	2.172180000000002
3	0.129	2.172180000000002
4	0.1146	2.172180000000002
5	0.0908	2.172180000000002
6	0.0638	2.172180000000002
7	0.0416	2.172180000000002
8	0.0264	2.172180000000002
9	0.015	2.172180000000002
10	0.008	2.172180000000002
11	0.006	2.172180000000002
12	0.0026	2.172180000000002
13	0.0018	2.172180000000002
14	0.0002	2.172180000000002
