pontuacao	frequencia	media
-3	0.0006	4.521179999999966
-2	0.003	4.521179999999966
-1	0.027	4.521179999999966
0	0.0576	4.521179999999966
1	0.0866	4.521179999999966
2	0.115	4.521179999999966
3	0.1224	4.521179999999966
4	0.1054	4.521179999999966
5	0.1008	4.521179999999966
6	0.0792	4.521179999999966
7	0.0728	4.521179999999966
8	0.0564	4.521179999999966
9	0.0498	4.521179999999966
10	0.0296	4.521179999999966
11	0.0298	4.521179999999966
12	0.0196	4.521179999999966
13	0.0164	4.521179999999966
14	0.0104	4.521179999999966
15	0.006	4.521179999999966
16	0.0044	4.521179999999966
17	0.0026	4.521179999999966
18	0.0014	4.521179999999966
19	0.0008	4.521179999999966
20	0.0006	4.521179999999966
21	0.0006	4.521179999999966
22	0.0004	4.521179999999966
23	0.0004	4.521179999999966
24	0.0002	4.521179999999966
25	0.0	4.521179999999966
26	0.0	4.521179999999966
27	0.0	4.521179999999966
28	0.0	4.521179999999966
29	0.0	4.521179999999966
