pontuacao	frequencia	media
-3	0.0006	6.716480000000002
-2	0.0052	6.716480000000002
-1	0.0276	6.716480000000002
0	0.0552	6.716480000000002
1	0.0666	6.716480000000002
2	0.0644	6.716480000000002
3	0.063	6.716480000000002
4	0.067	6.716480000000002
5	0.0818	6.716480000000002
6	0.0746	6.716480000000002
7	0.0712	6.716480000000002
8	0.0612	6.716480000000002
9	0.0568	6.716480000000002
10	0.0576	6.716480000000002
11	0.0428	6.716480000000002
12	0.0402	6.716480000000002
13	0.0338	6.716480000000002
14	0.0278	6.716480000000002
15	0.0244	6.716480000000002
16	0.0216	6.716480000000002
17	0.0122	6.716480000000002
18	0.0114	6.716480000000002
19	0.0074	6.716480000000002
20	0.006	6.716480000000002
21	0.004	6.716480000000002
22	0.0046	6.716480000000002
23	0.0032	6.716480000000002
24	0.0022	6.716480000000002
25	0.002	6.716480000000002
26	0.0016	6.716480000000002
27	0.0004	6.716480000000002
28	0.0004	6.716480000000002
29	0.0002	6.716480000000002
30	0.0002	6.716480000000002
31	0.0002	6.716480000000002
32	0.0	6.716480000000002
33	0.0	6.716480000000002
34	0.0	6.716480000000002
35	0.0	6.716480000000002
36	0.0	6.716480000000002
37	0.0002	6.716480000000002
38	0.0	6.716480000000002
39	0.0	6.716480000000002
40	0.0002	6.716480000000002
41	0.0	6.716480000000002
42	0.0	6.716480000000002
