pontuacao	frequencia	media
-3	0.0012	4.899219999999993
-2	0.0058	4.899219999999993
-1	0.0182	4.899219999999993
0	0.0428	4.899219999999993
1	0.075	4.899219999999993
2	0.0938	4.899219999999993
3	0.1114	4.899219999999993
4	0.111	4.899219999999993
5	0.11	4.899219999999993
6	0.096	4.899219999999993
7	0.0858	4.899219999999993
8	0.0602	4.899219999999993
9	0.0488	4.899219999999993
10	0.0418	4.899219999999993
11	0.0294	4.899219999999993
12	0.0214	4.899219999999993
13	0.0168	4.899219999999993
14	0.0116	4.899219999999993
15	0.0074	4.899219999999993
16	0.0034	4.899219999999993
17	0.0018	4.899219999999993
18	0.0026	4.899219999999993
19	0.0012	4.899219999999993
20	0.0016	4.899219999999993
21	0.0004	4.899219999999993
22	0.0002	4.899219999999993
23	0.0	4.899219999999993
24	0.0002	4.899219999999993
25	0.0	4.899219999999993
26	0.0	4.899219999999993
27	0.0	4.899219999999993
28	0.0	4.899219999999993
