pontuacao	frequencia	media
-9	0.0002	2.080740000000004
-8	0.0	2.080740000000004
-7	0.0006	2.080740000000004
-6	0.0018	2.080740000000004
-5	0.0056	2.080740000000004
-4	0.0116	2.080740000000004
-3	0.0246	2.080740000000004
-2	0.0484	2.080740000000004
-1	0.0802	2.080740000000004
0	0.1114	2.080740000000004
1	0.1366	2.080740000000004
2	0.1254	2.080740000000004
3	0.111	2.080740000000004
4	0.094	2.080740000000004
5	0.0714	2.080740000000004
6	0.0544	2.080740000000004
7	0.0392	2.080740000000004
8	0.0268	2.080740000000004
9	0.0202	2.080740000000004
10	0.0132	2.080740000000004
11	0.0088	2.080740000000004
12	0.0054	2.080740000000004
13	0.0036	2.080740000000004
14	0.0024	2.080740000000004
15	0.0016	2.080740000000004
16	0.0006	2.080740000000004
17	0.0006	2.080740000000004
18	0.0	2.080740000000004
19	0.0	2.080740000000004
20	0.0	2.080740000000004
