pontuacao	frequencia	media
-7	0.0004	0.731619999999999
-6	0.0008	0.731619999999999
-5	0.0054	0.731619999999999
-4	0.01	0.731619999999999
-3	0.027	0.731619999999999
-2	0.0564	0.731619999999999
-1	0.1066	0.731619999999999
0	0.1854	0.731619999999999
1	0.1802	0.731619999999999
2	0.1674	0.731619999999999
3	0.1184	0.731619999999999
4	0.0706	0.731619999999999
5	0.04	0.731619999999999
6	0.0174	0.731619999999999
7	0.0078	0.731619999999999
8	0.0032	0.731619999999999
9	0.0014	0.731619999999999
10	0.0012	0.731619999999999
11	0.0002	0.731619999999999
12	0.0	0.731619999999999
