pontuacao	frequencia	media
-11	0.0	4.258920000000043
-10	0.0	4.258920000000043
-9	0.0002	4.258920000000043
-8	0.0018	4.258920000000043
-7	0.0014	4.258920000000043
-6	0.0078	4.258920000000043
-5	0.003	4.258920000000043
-4	0.0272	4.258920000000043
-3	0.013	4.258920000000043
-2	0.0556	4.258920000000043
-1	0.0472	4.258920000000043
0	0.0708	4.258920000000043
1	0.0932	4.258920000000043
2	0.04	4.258920000000043
3	0.1156	4.258920000000043
4	0.087	4.258920000000043
5	0.0432	4.258920000000043
6	0.096	4.258920000000043
7	0.0488	4.258920000000043
8	0.0434	4.258920000000043
9	0.0592	4.258920000000043
10	0.0244	4.258920000000043
11	0.0306	4.258920000000043
12	0.0242	4.258920000000043
13	0.0136	4.258920000000043
14	0.0182	4.258920000000043
15	0.0126	4.258920000000043
16	0.0048	4.258920000000043
17	0.0044	4.258920000000043
18	0.0044	4.258920000000043
19	0.0016	4.258920000000043
20	0.0014	4.258920000000043
21	0.001	4.258920000000043
22	0.0022	4.258920000000043
23	0.0008	4.258920000000043
24	0.0004	4.258920000000043
25	0.0004	4.258920000000043
